Name,Team,WPA,-WPA,+WPA,RE24,REW,pLI,inLI,gmLI,exLI,Pulls,WPA/LI,Clutch,SD,MD,NameASCII,PlayerId,MLBAMID
"Isaac Mattson","PIT",0.5980721712112427,-1.2452338933944702,1.843306064605713,2.806999921798706,0.2548440098762512,1.1448876857757568,1.015358328819275,1.2544190883636475,1.3865052461624146,19,0.44108647108078003,0.08129854418471205,7,3,"Isaac Mattson",20385,676755
"Nick Sandlin","LAA",-0.7406920194625854,-1.188815951347351,0.4481239318847656,-5.607000350952148,-0.5694538950920105,0.8512622117996216,0.6288820505142212,0.9589999914169312,0.8638333082199097,6,-0.3895794153213501,-0.48053088582395287,1,3,"Nick Sandlin",20517,680704
"Michael Petersen","MIA",0.16639818251132965,-1.4982539415359497,1.6646521091461182,1.504000186920166,0.13829824328422546,1.236775279045105,0.9798471927642822,0.938533365726471,1.513128638267517,14,0.4666004776954651,-0.33205850767824163,6,3,"Michael Petersen",20827,656848
"Cole Sands","MIN",-0.09502992779016495,-1.090783953666687,0.9957540035247803,-2.419999837875366,-0.2407517433166504,1.130142331123352,1.0701285600662231,1.0249667167663574,1.3963333368301392,6,-0.020019030198454857,-0.06406765974590463,2,3,"Cole Sands",21461,663485
"Brendon Little","TOR",-1.0578099489212036,-1.3557583093643188,0.29794830083847046,-10.253000259399414,-1.0592567920684814,1.3266692161560059,1.3393800258636475,1.7547600269317627,0.574400007724762,4,-0.5718770027160645,-0.22546564761404875,0,3,"Brendon Little",21574,663893
"Luis Medina","ATH",-0.07404189929366112,-1.0675640553236008,0.9935221672058105,3.9009999334812164,0.40277212858200073,0.6904750168323517,0.6673249701658884,0.7108933329582214,0.7968222167756822,9,0.46505874767899513,-0.5722920254785866,3,3,"Luis Medina",21649,665622
"Elvis Alvarado","ATH",0.07414986193180084,-0.6553379893302917,0.7294878363609314,-4.361000061035156,-0.4305552542209625,0.7875022292137146,0.7680255770683289,1.5450999736785889,1.6821249723434448,8,-0.11805570125579834,0.212213989551485,3,3,"Elvis Alvarado",21662,665660
"Tobias Myers","NYM",0.5389001369476318,-1.7109520137310028,2.2498521208763123,3.874999761581421,0.4718216061592102,0.9421024647185473,0.9452972684587752,1.1680235091377706,0.7182428325925555,14,0.32405445724725723,0.24796414702274439,5,3,"Tobias Myers",22191,668964
"Jeremiah Estrada","SDP",0.2808898091316223,-1.3021565675735474,1.583046317100525,4.228000164031982,0.43793120980262756,1.4322364330291748,1.4061684608459473,1.4547874927520752,1.6721538305282593,13,0.5403063297271729,-0.34418660909030746,9,3,"Jeremiah Estrada",22210,669093
"Steven Cruz","KCR",-0.538349986076355,-1.1208100318908691,0.5824599862098694,-3.933000087738037,-0.4151434898376465,0.8723222017288208,0.6607083082199097,0.729236364364624,0.32892000675201416,5,-0.48721614480018616,-0.12992965867635098,0,3,"Steven Cruz",23165,674444
"Aaron Ashby","MIL",0.4816161319613457,-2.3424957543611526,2.8241119533777237,3.5154001712799072,0.3594759628176689,1.1821007488442838,1.0505018730958302,1.1366957218750664,1.2740818235007199,22,0.23145059496164322,0.17597333437112483,7,3,"Aaron Ashby",23550,676879
"Erik Sabrowski","CLE",1.4074339866638184,-1.3582160472869873,2.7656500339508057,8.244999885559082,0.8419708609580994,1.637524127960205,1.401315450668335,1.6384079456329346,1.8511000871658325,24,0.7396568059921265,0.11983220099856728,12,3,"Erik Sabrowski",24978,681870
"Evan Sisk","PIT",-0.597295880317688,-1.2833420038223267,0.6860461235046387,4.11299991607666,0.42302489280700684,0.44795462489128113,0.5392036437988281,0.5889222025871277,0.6732285618782043,14,0.18653661012649536,-1.5199213931559195,0,3,"Evan Sisk",24995,681895
"Paxton Schultz","WSN",-0.5382100343704224,-1.7248541116714478,1.1866440773010254,-0.3919997811317444,-0.04643905162811279,0.8126510977745056,0.6933674216270447,0.8768666982650757,0.6924222111701965,9,-0.44447261095046997,-0.2178165754474113,1,3,"Paxton Schultz",25501,687606
"Chris Murphy","CHW",-0.5046460628509521,-0.7192580103874207,0.2146119326353073,-2.7799999713897705,-0.28656867146492004,0.7118666768074036,0.6604833602905273,0.8387333750724792,1.6227600574493408,5,-0.26876896619796753,-0.44013633769152016,0,3,"Chris Murphy",26214,669684
"Cole Henry","WSN",-1.220323920249939,-1.5003688335418701,0.280044823884964,-3.7609996795654297,-0.38082367181777954,0.9379943013191223,1.15038001537323,1.528171420097351,0.5296000242233276,2,-0.37040555477142334,-0.9305873388248067,0,3,"Cole Henry",27570,669371
"Justin Sterner","ATH",-0.46503809094429016,-3.1890158653259277,2.72397780418396,2.9509999752044678,0.31933969259262085,1.5533188581466675,1.1107499599456787,1.4637999534606934,1.357019066810608,21,-0.06141725555062294,-0.23796627958468558,8,3,"Justin Sterner",27694,686993
"Brandon Pfaadt","ARI",-0.8745379447937012,-2.193529963493347,1.3189919888973236,-6.547500371932983,-0.6265996694564819,0.5891006344063267,0.5579002015292645,0.5481636415828358,1.408377726872762,9,-0.27324652671813965,-1.2112841183303544,0,3,"Brandon Pfaadt",27782,694297
"Tyler Samaniego","BOS",-0.17947587370872498,-1.0213319063186646,0.841856062412262,4.753999710083008,0.47437435388565063,0.7461216449737549,0.5861014127731323,0.861477792263031,0.8110923171043396,13,0.23628488183021545,-0.4768299389502754,3,3,"Tyler Samaniego",30081,701719
"Brant Hurter","DET",0.5717560648918152,-1.8161919116973877,2.3879480361938477,7.738999843597412,0.7906562685966492,1.1673243045806885,1.0438082218170166,1.4444094896316528,1.1645176410675049,17,0.3218384385108948,0.16796209305363408,8,3,"Brant Hurter",30133,676428
"Jack Perkins","ATH",0.4216780960559845,-2.6105549335479736,3.0322329998016357,-2.544999837875366,-0.2545727491378784,1.7959381341934204,1.6626708507537842,1.6224285364151,1.7168444395065308,9,0.13306516408920288,0.10173028238388274,6,3,"Jack Perkins",31468,678022
"Zach Agnos","COL",-0.08059006929397583,-1.305831991136074,1.2252419888973236,0.3600001335144043,0.03890398144721985,0.5133405333837947,0.5134185082034061,0.6777714235442025,1.236449971795082,8,0.2125697284936905,-0.36956116800217625,1,3,"Zach Agnos",31552,688642
"David Morgan","SDP",-0.07296790182590485,-0.967210590839386,0.8942427039146423,-6.632999897003174,-0.6274837255477905,0.6381633877754211,0.6437481641769409,0.6421999931335449,0.5162285566329956,7,-0.4594491422176361,0.3451086720125618,1,3,"David Morgan",31616,688158
"Orion Kerkering","PHI",0.3255141079425812,-1.168383240699768,1.4938973188400269,2.864999771118164,0.2837652266025543,0.9821468591690063,0.7676066756248474,0.9734952449798584,0.9889875054359436,16,0.0884246975183487,0.2430064982378526,4,3,"Orion Kerkering",31776,689147
"Hunter Barco","PIT",-0.6301360726356506,-1.6115660667419434,0.9814299941062927,-5.442999839782715,-0.5545059442520142,1.302547574043274,1.0695832967758179,1.4500799179077148,1.5581333637237549,3,-0.2928416132926941,-0.1909304079315502,1,3,"Hunter Barco",33174,682995
"José Fermin","LAA",-0.08024991303682327,-1.115299940109253,1.0350499153137207,0.08800008893013,0.007272724062204361,1.389561414718628,0.8790222406387329,1.152833342552185,0.8716222047805786,9,0.06467704474925995,-0.1224290175565022,4,3,"Jose Fermin",33908,820862
"Craig Kimbrel","NYM",-0.2833479046821594,-1.1018998622894287,0.8185520172119141,-0.5730001926422119,-0.010957086458802223,0.8151671886444092,0.7265999913215637,0.8120142817497253,1.5019999742507935,5,-0.028164269402623177,-0.31943056590147656,2,2,"Craig Kimbrel",6655,518886
"Luis García","- - -",-0.08204989321529865,-1.6446890532970428,1.5626391172409058,-8.562000274658203,-0.8857347369194031,1.266966618024386,0.8750588613397935,0.9249599933624267,1.7193600416183472,5,-0.2511478364467621,0.18638694058098054,3,2,"Luis Garcia",6984,472610
"Kirby Yates","LAA",-0.2493080347776413,-0.7314180135726929,0.48210999369621277,-1.8599998950958252,-0.19903221726417542,1.2465484142303467,1.0441714525222778,1.1629427671432495,1.2403000593185425,6,0.04349895939230919,-0.24349763728687854,1,2,"Kirby Yates",9073,489446
"Miles Mikolas","WSN",-0.9272718727588654,-4.026012182235718,3.0987401008605957,-10.751399517059326,-1.1076233386993408,0.9169952824430646,0.9110816029401926,0.9751636223359541,1.1267454624176025,11,-0.7757394313812256,-0.23546737688982877,2,2,"Miles Mikolas",9803,571945
"Chris Martin","TEX",-0.7449979782104492,-1.1827919483184814,0.437794029712677,-5.185999870300293,-0.5306103229522705,0.8446378111839294,0.7789833545684814,1.0479999780654907,1.2828400135040283,5,-0.40726494789123535,-0.4747675260826506,1,2,"Chris Martin",11847,455119
"Hoby Milner","CHC",0.37290769815444946,-1.4129483699798584,1.785856008529663,5.795000076293945,0.6026602983474731,1.0978989601135254,1.047678828239441,1.3388086557388306,1.2260799407958984,20,0.5058993101119995,-0.16624355698523646,6,2,"Hoby Milner",13346,571948
"Edwin Díaz","LAD",0.0725739374756813,-0.9260859489440918,0.9986599087715149,-4.355000019073486,-0.39021676778793335,1.766321063041687,1.4101999998092651,1.4101999998092651,0.07000000029802322,1,-0.23226402699947357,0.2733516520039026,3,2,"Edwin Diaz",14710,621242
"Scott Barlow","ATH",0.7950520515441895,-1.5642520189285278,2.3593039512634277,6.419000148773193,0.6798800826072693,1.2919461727142334,1.2345458269119263,1.3516000509262085,1.3805636167526245,22,0.7368696331977844,-0.12147862981420332,11,2,"Scott Barlow",14993,605130
"Tyler Rogers","TOR",0.14916403591632843,-2.036792039871216,2.1859560012817383,5.1479997634887695,0.5350832939147949,1.4542146921157837,1.32833731174469,1.3337500095367432,1.722809076309204,22,0.6563264727592468,-0.5537528729152617,9,2,"Tyler Rogers",15541,643511
"Jordan Romano","LAA",-1.2880419492721558,-1.9032540321350098,0.6152120232582092,-5.076999664306641,-0.5265703201293945,1.3631291389465332,1.1723817586898804,1.244036316871643,1.315100073814392,2,-0.273225873708725,-0.671689697729791,2,2,"Jordan Romano",16122,605447
"Ryan Yarbrough","NYY",-0.13370995223522186,-0.381352037191391,0.24764208495616913,0.47599977254867554,0.04719717428088188,0.2416839599609375,0.28751417994499207,0.45649999380111694,1.26419997215271,2,0.22666926681995392,-0.7799122385787455,0,2,"Ryan Yarbrough",16502,642232
"Erick Fedde","CHW",-0.9350641369819641,-4.315927982330322,3.3808637857437134,-4.985399961471558,-0.527195081114769,0.9021589130695377,0.9122925629982581,0.8651600062847138,0.9351399779319763,10,-1.1310248970985413,0.09455103042635105,0,2,"Erick Fedde",17425,607200
"Jimmy Herget","COL",0.5676280148327351,-1.0526439547538757,1.620271921157837,0.1982000172138214,0.028170747682452202,1.1573702966844714,1.064890702565511,1.306826615333557,1.2454399943351746,10,0.07538628578186035,0.4150600445402707,6,2,"Jimmy Herget",17556,623474
"Tanner Scott","LAD",0.5737720131874084,-0.8261278867721558,1.399899959564209,7.73199987411499,0.803554117679596,0.8748531341552734,0.9931819438934326,1.0726956129074097,0.721946656703949,15,0.8506072759628296,-0.19475775015479557,8,2,"Tanner Scott",17586,656945
"Taylor Clarke","ARI",0.7783161401748657,-0.9678159356117249,1.7461321353912354,2.879999876022339,0.3106410503387451,1.131645917892456,1.0626790523529053,1.2373416423797607,1.3813809156417847,21,0.5904842019081116,0.0972893568251526,8,2,"Taylor Clarke",17611,664199
