Name,Team,IP,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,Pace,NameASCII,PlayerId,MLBAMID
"Daniel Duarte","NYM",2.1,0.41666667,0.8125,0.64285714,0.8,0.84615385,0.83333333,0.57142857,19.5,"Daniel Duarte",17480,650960
"J.T. Ginn","ATH",53.2,0.30168776,0.6395664,0.44958482,0.58741259,0.87288136,0.7651715,0.43772242,19.49919225,"J.T. Ginn",27889,669372
"MacKenzie Gore","TEX",55,0.3030888,0.69369369,0.48336798,0.57324841,0.86688312,0.76774194,0.46153846,19.49587912,"MacKenzie Gore",22201,669022
"Seranthony Domínguez","CHW",19.2,0.25257732,0.63157895,0.43013699,0.55102041,0.84259259,0.75159236,0.46849315,19.49280576,"Seranthony Dominguez",19249,622554
"Framber Valdez","DET",61,0.33136095,0.61181435,0.46687054,0.5952381,0.92758621,0.80567686,0.48318043,19.47323944,"Framber Valdez",17295,664285
"Will Warren","NYY",52.1,0.27510917,0.60465116,0.43468468,0.57936508,0.85384615,0.7642487,0.48423423,19.46536145,"Will Warren",30182,701542
"George Klassen","LAA",4.2,0.18072289,0.70967742,0.40689655,0.33333333,0.79545455,0.6779661,0.42758621,19.46428571,"George Klassen",33464,691946
"Cal Quantrill","TEX",19.1,0.24539877,0.61818182,0.43292683,0.6,0.91176471,0.82394366,0.50304878,19.44715447,"Cal Quantrill",19312,615698
"Chris Roycroft","STL",3.2,0.25,0.6097561,0.40206186,0.92857143,0.88,0.8974359,0.42268041,19.43661972,"Chris Roycroft",31261,688297
"Ryan Feltner","COL",20,0.24539877,0.76687117,0.50613497,0.45,0.88,0.77575758,0.5,19.42978723,"Ryan Feltner",21446,663372
"Anthony Nunez","BAL",23.2,0.36403509,0.64900662,0.47757256,0.38554217,0.85714286,0.64088398,0.39841689,19.42599278,"Anthony Nunez",25796,689296
"Luis Castillo","SEA",46.1,0.31545064,0.72108844,0.51267916,0.65306122,0.83962264,0.78064516,0.4862183,19.42547033,"Luis Castillo",15689,622491
"Chad Patrick","MIL",41,0.29752066,0.69205298,0.47669173,0.63888889,0.85167464,0.77917981,0.45413534,19.4248497,"Chad Patrick",30113,694477
