Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,CG,ShO,TBF,H,ER,HR,BB,IBB,HBP,SO,QS,AVG,WHIP,ERA-,FIP-,K%,BB%,SIERA,K-BB%,WPA,Clutch,EV,Barrel%,HardHit%,K/BB,Contact% (sc),O-Swing% (mlb),NameASCII,PlayerId,MLBAMID
"Kervin Castro","NYY",0,0,0,1,0,2,9,0,0,0.3333333333333333,0.5,0.5,0,93.88778250558036,4.5,4.036311744424819,1.0771095275878908,1.7791677087545397,0.03823264315724373,0,0,8,2,1,0,0,0,0,2,0,0.25,1,110.93277050754709,25.50708305130654,0.25,0,1.93834818816185,0.25,-0.00515997176989913,-0.11014266322491431,92.38333129882812,0,0.5,2,0.93333333,0.28571429,"Kervin Castro",21656,665645
"Hunter Stratton","ATL",0,0,0,1,0,1,9,0,0,0.5,1,1,0,96.75177001953125,0,1.4508320990618404,1.0771095275878908,1.0771095275878908,0.0177555400878191,0,0,3,1,0,0,0,0,0,1,0,0.3333333333333333,1,0,27.408079072783842,0.33333333,0,-0.923519860639261,0.33333333,0.0010079999919980764,0.035357166929713725,93.94999694824219,0,0.5,1,0.875,0.5,"Hunter Stratton",23455,676702
"Ryan Gusto","MIA",0,0,0,1,0,1,9,0,0,0,1,0.5,0,94.89745330810547,0,20.42208206131408,1.0771095275878908,2.4812258899211885,0.039515379816293716,0,0,3,0,0,0,0,0,0,1,0,0,0,0,26.864592487423657,0.33333333,0,1.649591246857628,0.33333333,0.066460020840168,-0.00035063497145673694,103.5999984741211,0.5,1,1,0.5,0.33333333,"Ryan Gusto",26440,687473
"Javier Sanoja","MIA",0,0,0,1,0,1,9,0,0,0.3333333333333333,1,0,0,60.76426344651442,0,2.9252220490670298,1.0771095275878908,3.8853422522544863,0.017430853098630905,0,0,4,1,0,0,0,0,0,1,0,0.25,1,0,26.864592487423657,0.25,0,4.23278568816185,0.25,0.00017400001524947584,,98.03333536783855,0.33333333,0.33333333,1,0.85714286,0.28571429,"Javier Sanoja",28253,691594
"Welinton Herrera","COL",0,0,0,2,0,2,9,0,0,0.2,1,0.4,0,94.91450769761029,0,1.3093453662814678,1.0771095275878908,2.4812258899211885,0.04004552587866783,0,0,7,1,0,0,0,0,0,2,0,0.14285714285714285,0.5,0,25.54031853933007,0.28571429,0,2.118933654696748,0.28571429,0.013799998909235,0.10498319902810882,96.1,0,0.6,2,0.81818182,0.09090909,"Welinton Herrera",29318,700327
"Chayce McDermott","LAD",0,0,0,1,0,1,9,0,0,0.3333333333333333,1,0,0,96.6045166015625,0,1.9130748649526872,1.0771095275878908,3.8853422522544863,0.03113577328622341,0,0,4,1,0,0,0,0,0,1,0,0.25,1,0,26.1103808265985,0.25,0,4.23278568816185,0.25,0.00021600000036414713,0.06640000252388423,89.66666666666667,0,0,1,0.71428571,0.2,"Chayce McDermott",29866,694646
"William Kempner","MIA",0,0,0,1,0,1,9,0,0,0,1,0.5,0,98.02919921875,0,0.6119751622024081,1.0771095275878908,2.4812258899211885,0.033892370760440826,0,0,3,0,0,0,0,0,0,1,0,0,0,0,26.864592487423657,0.33333333,0,1.649591246857628,0.33333333,0.053770020604133606,-0.000130817889612167,91.5,0,0,1,0.75,0.33333333,"William Kempner",31615,687531
"Will Dion","CLE",0,0,0,1,0,3,9,0,0,0.5555555555555556,0.6,0.555555555,0,91.84708862304687,6,,1.0771095275878912,2.0131871024767563,0.07378686964511871,0,0,12,5,2,0,0,0,0,3,0,0.4166666666666667,1.6666666666666667,147.99440827400178,26.30830975057424,0.25,0,1.93834818816185,0.25,0.008963998407125473,0.07674638627393188,84.4888916015625,0,0.11111111,3,0.89473684,0.64705882,"Will Dion",30061,702021
"Louis Varland","TOR",2,1,7,25,0,27.2,13.012050285898967,2.9277113143272677,0,0.3333333333333333,0.79310345,0.6,0,98.50247148992891,0.32530125714747415,1.7668432861499934,1.1614465688305429,1.7704609926283563,1.3227176666259766,0,0,109,20,1,0,9,1,0,40,0,0.2,1.0481929396974168,7.977046698942726,27.642073294462673,0.36697248,0.08256881,1.861765674068956,0.28440367,2.327049970626831,0.48641733106745244,86.22000325520834,0,0.31666667,4.44444444,0.75630252,0.34136546,"Louis Varland",27691,686973
"Nick Pivetta","SDP",1,2,0,4,4,16,13.5,3.375,0,0.3333333333333333,0.55555556,0.333333333,0,94.36178304541926,4.5,1.7767212338390477,1.2021095275878908,3.045012253150344,0.8687676191329956,0,0,66,12,8,0,6,0,0,24,0,0.2,1.125,115.82420948329148,30.222939639663693,0.36363636,0.09090909,2.694010890463598,0.27272727,0.0680040717124939,-0.34231031760853214,86.16944715711806,0.02777778,0.30555556,4,0.75912409,0.39869281,"Nick Pivetta",15454,601713
"Dylan Dodd","ATL",0,0,1,4,0,8,10.125,1.125,0,0.25,0.83333333,0.45,0,93.91896057128906,1.125,1.7749487036845633,1.2021095275878908,2.4307113446295263,0.19071578979492188,0,0,30,5,1,0,1,1,0,9,0,0.1724137931034483,0.75,27.73493314815683,30.554769007057764,0.3,0.03333333,2.1878979080796945,0.26666667,0.03711003437638283,-0.2451854548999089,89.04000244140624,0.05,0.3,9,0.71428571,0.4,"Dylan Dodd",29928,689266
"Raisel Iglesias","ATL",0,0,9,16,0,16.2,10.80000041198732,1.620000061798098,0,0.3,0.86666667,0.375,0,94.5718767284292,1.080000041198732,1.6515341652956557,1.2171094566345189,2.649308200848529,0.7222287058830261,0,0,63,12,2,0,3,0,0,20,0,0.2,0.9000000343322767,26.625536837914183,30.932370013024546,0.31746032,0.04761905,2.228618704662324,0.26984127,1.3152960538864136,0.2342701010842967,87.91000366210938,0,0.325,6.66666667,0.68461538,0.4173913,"Raisel Iglesias",17130,628452
"Eduardo Rivera","BOS",0,0,0,1,0,3.1,8.10000077247627,0,0,0.14285714285714285,1,0.714285714,0,95.75240652901786,0,1.395521108477244,1.2771093559264979,2.119579253670667,0.08292781561613083,0,0,10,1,0,0,0,0,0,3,0,0.1,0.30000002861023223,0,30.753602219880037,0.3,0,1.30552568816185,0.3,0.031251996755599976,-0.0015419566843584975,95.45714460100446,0,0.42857143,3,0.63157895,0.33333333,"Eduardo Rivera",31280,700842
"Cade Smith","CLE",2,0,18,25,0,25.2,12.974026295402485,1.7532467966760115,0.3506493593352023,0.3559322033898305,0.703125,0.366666666,0.04,96.76014760147602,2.454545515346416,2.346102948635002,1.2849016909857458,2.1460540132911357,1.2316474914550781,0,0,102,22,7,1,5,1,0,37,0,0.2268041237113402,1.051948078005607,60.54316852088294,31.439398355088947,0.3627451,0.04901961,1.8035976755278131,0.31372549,1.3225560188293457,0.12463045353110613,92.36379478717673,0.08333333,0.45,7.4,0.6635514,0.31390135,"Cade Smith",27867,671922
"Tayler Saucedo","LAA",0,0,0,4,0,2,13.50001448394422,0,0,0.5,0.66666667,0.25,0,92.35699462890625,4.500004827981407,4.111513467677926,1.5771079182607552,3.683284721443265,0.10453212261199951,0,0,8,2,1,0,0,0,1,3,0,0.2857142857142857,1.000001072884757,108.41179348332759,37.68422991409243,0.375,0,1.6716606881618499,0.375,0.1366080492734909,0.06631771882115163,85.0250015258789,0.25,0.5,3,0.57142857,0.3125,"Tayler Saucedo",17888,642048
