Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,NameASCII,PlayerId,MLBAMID
"Aaron Nola","PHI",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Aaron Nola",16149,605400
"Brandon Woodruff","MIL",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Brandon Woodruff",16162,605540
"Tejay Antone","CIN",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tejay Antone",16233,622088
"Kyle Freeland","COL",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kyle Freeland",16256,607536
"Aaron Bummer","ATL",19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Aaron Bummer",16258,607481
"Ryan Borucki","SFG",19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ryan Borucki",16350,621366
"Tyler Mahle","SFG",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tyler Mahle",16358,641816
"Reynaldo López","ATL",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Reynaldo Lopez",16400,625643
"Foster Griffin","WSN",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Foster Griffin",16432,656492
"Ryan Yarbrough","NYY",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ryan Yarbrough",16502,642232
"Bryan Abreu","HOU",19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bryan Abreu",16609,650556
"Ryan Thompson","ARI",23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ryan Thompson",16647,657044
"Brock Stewart","LAD",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Brock Stewart",16727,592779
"Tim Hill","NYY",25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tim Hill",16814,657612
"Brennan Bernardino","COL",24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Brennan Bernardino",16835,657514
"Luke Weaver","NYM",21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Luke Weaver",16918,596133
"Sean Newcomb","CHW",21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sean Newcomb",16943,656794
"Grant Holmes","ATL",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Grant Holmes",16944,656550
"Tanner Banks","PHI",20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tanner Banks",16990,621383
"Raisel Iglesias","ATL",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Raisel Iglesias",17130,628452
"Gabe Speier","SEA",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gabe Speier",17170,642100
"Jalen Beeks","TEX",23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Jalen Beeks",17192,656222
"Alex Jackson","MIN",1,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,"Alex Jackson",17276,656577
"Ranger Suarez","BOS",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ranger Suarez",17277,624133
"Framber Valdez","DET",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Framber Valdez",17295,664285
"Matt Gage","SFG",26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Matt Gage",17381,657424
"Erick Fedde","CHW",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Erick Fedde",17425,607200
"Jeff Hoffman","TOR",25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Jeff Hoffman",17432,656546
"Jonathan Hernández","LAD",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Jonathan Hernandez",17464,642546
"Jack Flaherty","DET",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Jack Flaherty",17479,656427
"Daniel Duarte","NYM",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Daniel Duarte",17480,650960
