Name,Team,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,xFIP-,ERA,FIP,E-F,xFIP,SIERA,NameASCII,PlayerId,MLBAMID
"Kevin Kelly","TBR",6.20270430144859,1.824324794543703,3.4,0.7297299178174812,0.19101124,0.05617978,0.13483146,0.18072289156626506,0.8108110197972014,0.203125,0.6043956,70.80304350934725,83.72890331524684,80.00261574825169,2.918919671269925,3.487269580790935,-0.56834990952101,3.2761932154244073,2.9905676251656477,"Kevin Kelly",25679,687330
"Spencer Miles","TOR",9.00000118387172,2.4827589472749576,3.625,0.6206897368187394,0.25,0.06896552,0.18103448,0.2037037037037037,1.034482894697899,0.2597402597402597,0.77205882,53.4806950354347,67.51945320550975,74.62805243534362,2.1724140788655877,2.806001965639561,-0.6335878867739733,3.0566751570288675,2.9889584117077006,"Spencer Miles",31621,693686
"Gavin Williams","CLE",10.9038469537476,2.8557694402672285,3.81818182,1.168269316472957,0.3032491,0.07942238,0.22382672,0.21653543307086615,1.1105770045483665,0.2857142857142857,0.79510703,80.35863797461353,82.62304681553537,69.65610782664815,3.245192545758214,3.341479474552991,-0.09628692879477718,2.853601611624776,2.9853575257290843,"Gavin Williams",30122,668909
"Will Warren","NYY",10.662421418443563,2.235669007093005,4.76923077,1.0318472340429254,0.28181818,0.05909091,0.22272727,0.23786407766990292,1.1847134909381736,0.3115942028985507,0.67765568,89.37763024046157,72.02977376217106,69.95714578197334,3.611465319150239,3.00543094244471,0.6060343767055292,2.8658971719538613,2.983371316077951,"Will Warren",30182,701542
"Ben Brown","CHC",9.310345439933608,2.7931036319800824,3.33333333,0.2327586359983402,0.25974026,0.07792208,0.18181818,0.18439716312056736,0.9827586853263254,0.25,0.74468085,52.936896707288476,59.49891935686796,73.25090785046987,2.094827723985062,2.357726092230832,-0.26289836824576973,2.95363945194732,2.982207036732486,"Ben Brown",23590,676962
"Tim Mayza","PHI",8.881580061859841,2.4868424173207555,3.57142857,1.4210528098975745,0.24509804,0.06862745,0.17647059,0.20212765957446807,1.0263159182593595,0.23076923076923078,0.70093458,95.4252368519731,99.98056774174074,78.10518252468243,3.9078952272183303,4.108179989151694,-0.20028476193336342,3.149940447660042,2.9692709804921273,"Tim Mayza",15042,641835
"Alex Vesia","LAD",12.500002649095885,4.500000953674519,2.77777778,0,0.35211268,0.12676056,0.22535211,0.12903225806451613,0.9444446445983558,0.21621621621621623,0.70588235,62.35561044854424,43.54738551029577,84.81691465284241,2.500000529819177,1.8040860223180881,0.6959145075010889,3.4213547758837715,2.948979885701061,"Alex Vesia",25007,681911
"Davis Martin","CHW",9.632432829673677,1.7513514235770322,5.5,0.43783785589425805,0.27385892,0.04979253,0.22406639,0.22566371681415928,1.021621663753269,0.3057324840764331,0.84142395,49.87016135714528,54.639504379369185,69.32266198393118,2.043243327506538,2.303485660413653,-0.26024233290711507,2.8399823871944867,2.94598648233805,"Davis Martin",21448,663436
"Jesús Luzardo","PHI",10.670659170123765,2.4251498113917647,4.4,0.8083832704639216,0.27966102,0.06355932,0.21610169,0.26605504587155965,1.3113773054192506,0.36054421768707484,0.63768116,118.43741026716516,69.38328490712392,66.40402788070038,4.850299622783529,2.848331126091646,2.0019684966918834,2.6767599084943603,2.9441196659649878,"Jesus Luzardo",19959,666200
"Juan Morillo","ARI",10.016131189189982,3.048387753231734,3.28571429,0.43548396474739054,0.27058824,0.08235294,0.18823529,0.17105263157894737,0.9677421438830901,0.23076923076923078,0.77669903,64.20163674663321,71.68198664253825,83.5437853005747,2.6129037884843433,2.7915414277274073,-0.17863763924306397,3.369870964955461,2.9180818714950325,"Juan Morillo",21924,666661
"Didier Fuentes","ATL",10.983052267695575,3.2033902447445426,3.42857143,0.45762717782064893,0.2962963,0.08641975,0.20987654,0.18055555555555555,1.0169492840458865,0.2553191489361702,0.77669903,67.81305550644316,67.67699981937234,84.87720874938516,2.7457630669238937,2.6750843572739793,0.0706787096499144,3.423792996211479,2.898564723161651,"Didier Fuentes",30661,800311
"Hunter Brown","HOU",14.343750854954175,5.062500301748532,2.83333333,0,0.39534884,0.13953488,0.25581395,0.13513513513513514,1.0312500614672937,0.25,0.90909091,20.765616876700797,38.700097132810406,57.610653696933234,0.843750050291422,1.5818639814853617,-0.7381139311939396,2.3616184403228386,2.897866982075512,"Hunter Brown",25880,686613
