Name,Team,PA,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,Pace,NameASCII,PlayerId,MLBAMID
"Moisés Ballesteros","CHC",131,0.35616438,0.70707071,0.49795918,0.625,0.85,0.75409836,0.40408163,19.35654596,"Moises Ballesteros",28820,694208
"Connor Norby","MIA",180,0.26038781,0.71976401,0.48285714,0.5106383,0.80327869,0.72189349,0.48428571,19.35576923,"Connor Norby",29592,681393
"Manny Machado","SDP",208,0.28982301,0.68181818,0.47287736,0.6259542,0.84074074,0.77057357,0.46698113,19.3546875,"Manny Machado",11493,592518
"Rhys Hoskins","CLE",150,0.21212121,0.65217391,0.41087613,0.63636364,0.76410256,0.72794118,0.45166163,19.35087719,"Rhys Hoskins",16472,656555
"James Outman","MIN",62,0.29133858,0.78861789,0.536,0.32432432,0.78350515,0.65671642,0.492,19.34946237,"James Outman",24770,681546
"Kyle Schwarber","PHI",225,0.24904943,0.63824885,0.425,0.47328244,0.79061372,0.68872549,0.45208333,19.34646739,"Kyle Schwarber",16478,656941
"Addison Barger","TOR",28,0.35526316,0.58139535,0.43697479,0.7037037,0.92,0.80769231,0.36134454,19.34065934,"Addison Barger",24598,680718
"Christian Vázquez","HOU",108,0.31111111,0.59487179,0.44285714,0.68571429,0.89655172,0.8172043,0.46428571,19.33653846,"Christian Vazquez",9774,543877
"Josh Smith","TEX",108,0.30733945,0.665,0.4784689,0.6119403,0.89473684,0.8,0.4784689,19.33333333,"Josh Smith",26396,669701
"Danny Jansen","TEX",123,0.23966942,0.64344262,0.44238683,0.53448276,0.84713376,0.7627907,0.50205761,19.33057851,"Danny Jansen",16535,643376
"Alec Burleson","STL",219,0.35436893,0.6461126,0.49299363,0.78767123,0.82157676,0.80878553,0.47515924,19.32862191,"Alec Burleson",27615,676475
"Sal Frelick","MIL",185,0.22058824,0.61878453,0.42592593,0.77333333,0.95089286,0.90635452,0.51566952,19.32818533,"Sal Frelick",29622,686217
"Dylan Beavers","BAL",119,0.23904382,0.64516129,0.44088176,0.58333333,0.88125,0.8,0.49699399,19.32625995,"Dylan Beavers",31695,687637
"Darell Hernaiz","ATH",103,0.35087719,0.68648649,0.50121065,0.7,0.88976378,0.81642512,0.44794189,19.32580645,"Darell Hernaiz",26224,687231
"Dustin Harris","- - -",52,0.31683168,0.54545455,0.42328042,0.8125,0.89583333,0.8625,0.46560847,19.32352941,"Dustin Harris",25705,687957
