"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Rodriguez, Bradgley","699134","73","7.3",19.2,"104.9","85.4","75.3","89.4","84.3","384","120",,"19",26,"1",1.4,1
"Parker, Mitchell","680730","72","12.1",33.3,"110.3","90.1","79.3","93.7","87","422","164","396","32",44.4,"4",5.6,4
"Sterner, Justin","686993","72","8",26.4,"112.1","90.3","79.8","93.5","87.5","389","156","368","34",47.2,"5",6.9,4.8
"Morris, Andrew","702193","72","14.8",33.3,"109.9","86.5","75.6","88.2","86.1","396","167","396","24",33.3,"2",2.8,2
"Brazobán, Huascar","623211","72","7.3",22.2,"108.8","82.9","71.1","87.2","79.7","377","117","377","16",22.2,"1",1.4,1
"Headrick, Brent","687396","72","16.1",40.3,"108.7","90.7","81.1","92","92.3","420","170","405","31",43.1,"4",5.6,3.6
"Peralta, Wandy","593974","71","4.8",42.3,"106.4","87.3","76.9","91.3","84.5","427","142","407","25",35.2,"3",4.2,3
"Rogers, Tyler","643511","71","-7.9",22.5,"111.6","83.3","71.1","88.3","81.4","355","87",,"16",22.5,"0",0,0
"Drohan, Shane","675660","71","15.7",31,"113.6","88.4","77.7","91.4","87","401","163","380","27",38,"4",5.6,3.8
"Finnegan, Kyle","640448","71","9",26.8,"112.7","88.5","76.4","91","87.9","438","149","393","30",42.3,"5",7,4.8
"King, Bryan","687911","71","8.9",28.2,"107.3","88.3","78.1","94","86.5","379","133",,"28",39.4,"1",1.4,1
"Morejon, Adrian","670970","70","-0.8",31.4,"113.2","84.7","72.2","94.4","80.5","429","113","419","20",28.6,"2",2.9,1.8
"Ashby, Aaron","676879","70","5.6",27.1,"116.9","87.2","74.2","91.8","84.2","438","134","438","26",37.1,"3",4.3,2.2
"Hurter, Brant","676428","70","2.3",28.6,"108.9","87.5","76.4","91.8","85.8","431","116","431","23",32.9,"3",4.3,3
"Sulser, Cole","642121","70","15.8",32.9,"108.6","87.2","74.5","94.7","80.4","414","174","414","27",38.6,"7",10,7.4
"Clarke, Taylor","664199","70","8.5",25.7,"109","86","75.1","92.6","84.9","418","137","418","20",28.6,"4",5.7,4.7
"Seymour, Ian","693855","70","19.8",40,"106.6","88.2","77.6","92.7","84.1","412","187","402","26",37.1,"8",11.4,7.4
"Mayza, Tim","641835","69","5.6",31.9,"109.8","89.3","78.7","91.6","87.2","441","152","400","31",44.9,"3",4.3,2.9
"Orze, Eric","679358","69","14.3",31.9,"113.3","86.2","74","93.4","81.3","379","147",,"23",33.3,"4",5.8,3.9
"Blackburn, Paul","621112","69","7.7",31.9,"110.2","87.5","76.4","90.3","85.2","393","151","393","26",37.7,"4",5.8,4.2
"De Jesus, Enmanuel","646241","69","14.4",40.6,"105.8","91.1","81.9","94.9","86.4","410","173","410","32",46.4,"5",7.2,5
"Leiter Jr., Mark","643410","69","17.6",42,"110.5","87.2","76.4","88.9","84.4","414","173","411","24",34.8,"3",4.3,3
"Santana, Dennis","642701","69","18.3",43.5,"109.4","89","78.3","92.4","84.5","408","198","395","28",40.6,"8",11.6,8.4
"Hill, Tim","657612","69","-9.3",15.9,"113.8","90.6","79","97.6","88.4","398","78","398","32",46.4,"1",1.4,1.2
"Fisher, Braydon","680755","68","9.9",32.4,"106.5","88.8","78","94.1","84.4","409","161","387","28",41.2,"8",11.8,7.1
"Topa, Justin","623437","68","6.1",25,"115.7","91.2","80.3","92.1","91.3","453","145","415","31",45.6,"6",8.8,6.5
