Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,OPS,BB,IBB,SO,HBP,AB,H,1B,2B,3B,BB%,K%,BB/K,OPS,WPA,Clutch,EV,Barrel%,maxEV,HardHit%,xBA,xSLG,BatSpd,SqUpSw%,O-Swing% (mlb),Z-Swing% (mlb),Swing% (sc),O-Contact% (mlb),Z-Contact% (mlb),Contact% (sc),Zone% (mlb),NameASCII,PlayerId,MLBAMID
"Kyle Farmer","ATL",10,15,0,2,3,0,0,0.266666666,0.071428572,0.363636363,0.285714285,0.266666666,0.357142857,0.2648897608121236,0.24679999351501464,65.23790144163618,-0.031271540094166994,-0.6355203883603524,-0.09337377548217773,-0.026716479714041393,0.623809523,0,0,4,0,14,4,3,1,0,0,0.266666666,0,0.623809523,-0.14053800702095032,-0.14539174032850796,81.6181807084517,0,96.7,0.27272727,0.2739999975476946,0.3161428655896868,66.53599196213942,0.23076923,0.57692308,0.58333333,0.58,0.73333333,0.71428571,0.72413793,0.48,"Kyle Farmer",14813,571657
"Mickey Moniak","COL",43,164,12,21,28,1,0.060975609,0.243902439,0.326666666,0.303030303,0.28,0.335365853,0.606666666,0.4031368497668243,0.32411649750500193,146.1467894679657,0.819920688867569,9.590008167568028,-1.2857328057289124,1.3913307968558524,0.942032519,10,0,40,3,150,42,19,9,2,0.060975609,0.243902439,0.25,0.942032519,-0.14487707614898682,-1.0814862164786943,89.65765765765765,0.13513514,109.1,0.41441441,0.22804000854492187,0.46981333414713544,74.13277961910775,0.23905724,0.41447368,0.76470588,0.57986111,0.53174603,0.87980769,0.74850299,0.47222222,"Mickey Moniak",19956,666160
"Sam Huff","BAL",3,9,0,1,1,0,0,0.555555555,0.111111111,0.5,0.222222222,0.222222222,0.333333333,0.24186251560846964,0.1319999959733751,51.029251110732076,-0.004502526659052819,-0.5156576985652426,0.5432361960411072,0.03518359962403725,0.555555555,0,0,5,0,9,2,1,1,0,0,0.555555555,0,0.555555555,-0.05651404708623886,-0.002012229500833587,100.20000457763672,0.25,104.6,0.75,0.1064444449212816,0.20933332708146837,71.84962158203125,0.2,0.31578947,0.84210526,0.57894737,0.33333333,0.6875,0.59090909,0.5,"Sam Huff",22209,669087
"Elias Díaz","KCR",10,23,2,3,5,0,0.04347826,0.217391304,0.363636363,0.2,0.227272727,0.260869565,0.59090909,0.36248326301574707,0.29798225734544836,128.6498230439262,-1.0010983971878886,-0.2368698009317809,0.5971775874495506,0.11989534686947115,0.851778655,1,0,5,0,22,5,1,2,0,0.04347826,0.217391304,0.2,0.851778655,-0.04011993855237961,-0.08537963673085283,88.37646484375,0.17647059,110,0.41176471,0.238409085707231,0.41563636606389825,75.4080810546875,0.18181818,0.37777778,0.81578947,0.57831325,0.58823529,0.80645161,0.72916667,0.45783133,"Elias Diaz",11680,553869
"Jacob Wilson","ATH",39,168,3,18,19,2,0.029761904,0.119047619,0.105590062,0.316546762,0.291925465,0.311377245,0.397515527,0.3134468726055351,0.2747166185493929,95.48256483534784,0.1967476769350469,-0.6834388454963574,5.373723864555359,1.088698048732186,0.708892772,5,0,20,0,161,47,36,8,0,0.029761904,0.119047619,0.25,0.708892772,-0.2153022438287735,-0.045236146069469046,84.32571149553571,0.02097902,105.4,0.3006993,0.26652500629425047,0.3388687610626221,63.862999210288805,0.31407942,0.43205575,0.72142857,0.57495591,0.75,0.92574257,0.85889571,0.49382716,"Jacob Wilson",33266,805779
"Nick Castellanos","SDP",37,116,4,9,19,1,0.043103448,0.284482758,0.154545455,0.216216216,0.181818181,0.215517241,0.336363636,0.23861791310103042,0.2856611285293311,51.57312915284654,-0.03124653408303857,-6.540976631277321,-5.113677263259888,-0.8291324926728687,0.551880877,5,1,33,0,110,20,11,5,0,0.043103448,0.284482758,0.151515151,0.551880877,0.4512080252170563,0.8247395419527741,87.83076672676282,0.08974359,108.7,0.37179487,0.23834861965354429,0.40099082736794006,69.63182725694445,0.22666667,0.39837398,0.78365385,0.57488987,0.52040816,0.7791411,0.68199234,0.45814978,"Nick Castellanos",11737,592206
"Nicky Lopez","CHC",4,5,0,1,0,0,0,0.4,0,0,0,0,0,0,0.14419999122619628,-100,0,-1.233380439802119,0.020767949055880308,-0.10921171270242871,0,0,0,2,0,5,0,0,0,0,0,0.4,0,0,0.0031039640307426453,0.08378815303248947,88.30000305175781,0,98.5,0.33333333,0.16019999980926514,0.16599999666213988,66.84253540039063,0.1,0.45454545,0.7,0.57142857,0.2,1,0.66666667,0.47619048,"Nicky Lopez",19339,670032
"George Valera","CLE",13,38,0,1,6,0,0.026315789,0.210526315,0.081081081,0.275862068,0.216216216,0.236842105,0.297297297,0.2375983627218949,0.19851557832015188,47.868839604986654,-0.3590111518278718,-2.656505718812884,-2.2351693511009216,-0.36951694609891456,0.534139402,1,0,8,0,37,8,5,3,0,0.026315789,0.210526315,0.125,0.534139402,-0.40494805574417114,-0.04504930522880418,90.15862405711206,0,108.3,0.34482759,0.19340540911700274,0.23197297792176944,72.34363606770833,0.28333333,0.40350877,0.72580645,0.57142857,0.73913043,0.88888889,0.83823529,0.5210084,"George Valera",22541,671655
"Salvador Perez","KCR",53,220,9,21,25,0,0.045454545,0.2,0.157635468,0.222222222,0.21182266,0.259090909,0.369458128,0.276273397550191,0.29884680995234736,69.9932440782801,-0.929792701266706,-8.586027273194885,-2.8125422596931458,-0.388830524541864,0.628549037,10,1,44,4,203,43,29,5,0,0.045454545,0.2,0.227272727,0.628549037,-0.9091125130653381,-0.1683894464519229,88.8530876253858,0.09259259,111.2,0.40740741,0.2298699951171875,0.4111949920654297,71.28478377139365,0.23716381,0.44957983,0.73668639,0.56879607,0.63551402,0.84337349,0.74730022,0.41523342,"Salvador Perez",7304,521692
"Patrick Wisdom","SEA",4,12,0,0,2,0,0,0.416666666,0.083333333,0.142857142,0.083333333,0.083333333,0.166666666,0.1065392295519511,0.1744166612625122,-35.97054251595859,0.00121263787150383,-1.8911291541937933,0.09021537005901337,-0.1431897769523037,0.249999999,0,0,5,0,12,1,0,1,0,0,0.416666666,0,0.249999999,-0.08659002184867859,0.07805981951885499,96.95714460100446,0.14285714,103.8,0.71428571,0.14116666714350382,0.27300000190734863,76.95093677662037,0.22222222,0.38461538,0.76,0.56862745,0.6,0.73684211,0.68965517,0.49019608,"Patrick Wisdom",13602,621550
