Name,Team,W,L,ERA,G,GS,QS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,NameASCII,PlayerId,MLBAMID
"Eli Morgan","KCR",0,1,5.108108634753731,9,0,0,0,0,1,0,0,12.1,57,15,7,7,3,6,0,0,0,0,9,"Eli Morgan",20203,669212
"Luis Gil","NYY",1,2,6.051724535956845,4,4,1,0,0,0,0,0,19.1,85,15,13,13,6,11,0,3,2,0,9,"Luis Gil",21052,661563
"Elvis Alvarado","ATH",2,0,8.379312549278668,10,0,0,0,0,0,3,0,9.2,44,11,9,9,1,7,0,0,0,0,9,"Elvis Alvarado",21662,665660
"Grayson Rodriguez","LAA",1,1,10.607144302251584,2,2,0,0,0,0,0,0,9.1,46,14,11,11,1,6,0,0,0,0,9,"Grayson Rodriguez",24492,680570
"Garrett Acton","MIN",1,1,2.70000025749209,4,0,0,0,0,0,0,1,6.2,28,4,5,2,0,3,1,1,0,0,9,"Garrett Acton",27583,670183
"Dylan Dodd","ATL",0,0,1.125,4,0,0,0,0,1,0,0,8,30,5,1,1,0,1,1,0,0,0,9,"Dylan Dodd",29928,689266
"Travis Adams","MIN",1,0,3.3750004023314,5,0,0,0,0,1,0,0,8,34,6,3,3,0,3,0,0,0,0,9,"Travis Adams",30180,701519
"Cameron Foster","BAL",0,0,9.000000953674418,6,0,0,0,0,0,0,0,9,49,17,10,9,1,8,0,0,2,0,9,"Cameron Foster",31942,671382
"Andrew Kittredge","BAL",0,1,9.346156588673692,11,0,0,0,0,0,1,1,8.2,45,14,11,9,2,4,1,0,0,0,8,"Andrew Kittredge",12828,552640
"Angel Zerpa","MIL",0,2,6.394738125999476,12,0,0,0,0,2,2,3,12.2,55,16,11,9,2,6,0,0,1,0,8,"Angel Zerpa",22717,672582
"Valente Bellozo","COL",0,1,7.593750452622798,3,0,0,0,0,0,0,0,10.2,48,10,10,9,5,7,2,1,0,0,8,"Valente Bellozo",23899,678368
"Ethan Roberts","CHC",0,0,0.7297298613911456,9,0,0,0,0,0,0,0,12.1,45,5,1,1,0,6,0,2,0,0,8,"Ethan Roberts",24930,681799
"Cody Laweryson","MIN",0,0,4.263158750666317,5,0,0,0,0,1,1,0,6.1,26,3,4,3,0,2,0,2,0,0,8,"Cody Laweryson",26429,689520
"Cole Henry","WSN",0,2,6.4285723043948995,7,0,0,0,0,0,0,2,7,34,8,7,5,1,4,0,1,1,0,8,"Cole Henry",27570,669371
"Ken Waldichuk","WSN",0,0,6.750000919614645,5,0,0,0,0,0,0,1,9.1,41,8,7,7,4,6,0,1,0,0,8,"Ken Waldichuk",27681,686610
"Hunter Barco","PIT",0,1,7.714286765273879,5,0,0,0,0,0,1,1,11.2,60,14,12,10,3,9,0,2,0,0,8,"Hunter Barco",33174,682995
"Chris Martin","TEX",1,1,8.590910580532869,9,0,0,0,0,0,1,1,7.1,34,14,8,7,2,0,0,1,0,0,7,"Chris Martin",11847,455119
"Zach Eflin","BAL",0,0,2.454545880152248,1,1,0,0,0,0,0,0,3.2,17,4,1,1,1,2,0,0,0,0,7,"Zach Eflin",13774,621107
"Tejay Antone","CIN",0,0,6.136363902367847,7,0,0,0,0,1,0,0,7.1,29,5,5,5,1,1,0,1,0,0,7,"Tejay Antone",16233,622088
"Sam Hentges","SFG",0,0,0,6,0,0,0,0,0,1,0,5.2,23,1,0,0,0,5,0,0,0,0,7,"Sam Hentges",18548,656529
