Name,PlayerId,MLBAMID,Pos,Team,fWAR,fWAR,bWAR,Off,Def,BsR,Barrel%,HardHit%,EV,maxEV,wRC+,wOBA,xwOBA,wOBA-xwOBA,xBA,xSLG,OPS,SLG,OBP,AVG,ISO,BABIP,G,PA,AB,R,RBI,HR,XBH,TB,H,1B,2B,3B,SB,BB,IBB,SO,K%,BB%,Chase%,Whiff%,WPA,Clutch,FRV,OAA,DRS,FRM,TZ,Swing%,Z-Swing%,O-Contact%,Z-Contact%,Zone%,BatSpd,Squared-Up%,Inn
Johnny Groth,1005096,115198,OF,DET,3.287370709491898,,2.8,16.098827614392,-5.9691357016563416,-2.235013951547444,,,,,119.86079969817813,0.396621071734939,,,,,0.857769854,0.450530035,0.407239819,0.30565371,0.144876325,0.305502846,157,670,566,95,85,12,50,255,173,123,30,8,1,95,,27,0.040298507,0.141791044,,,,,,,,,-5.0,,,,,,,,0.0
Walt Dropo,1003510,113575,1B,BOS,3.252672989666376,,2.6,26.281211160553383,-14.271604537963867,-0.1727987453341484,,,,,131.52769927057605,0.4250796419646352,,,,,0.960852565,0.583184257,0.377668308,0.322003577,0.26118068,0.324444444,136,609,559,101,144,34,70,326,180,110,28,8,0,45,,75,0.123152709,0.073891625,,,,,,,,,-6.0,,,,,,,,0.0
Johnny Lipon,1007645,117805,SS,DET,3.2267701282867054,,2.66,-7.1113881761846365,15.074073791503906,-1.0777370401192456,,,,,93.75287439552186,0.3525937378493793,,,,,0.745465706,0.367720465,0.377745241,0.292845257,0.074875208,0.303664921,147,701,601,104,63,2,35,221,176,141,27,6,9,81,,26,0.037089871,0.115549215,,,,,,,,,6.0,,,,,,,,0.0
Monte Irvin,1006275,116403,1B,NYG,3.170929373053713,,3.61,18.799764161002837,-0.0987653732299804,0.4596010283567011,,,,,132.90778550658072,0.4035900802180828,,,,,0.889437571,0.497326203,0.392111368,0.29946524,0.197860963,0.305031446,110,432,374,61,66,15,39,186,112,73,19,5,3,52,,41,0.094907407,0.12037037,,,,,,,,,6.0,,,,,,,,0.0
Walker Cooper,1002601,112660,C,- - -,3.1643064182358835,,3.46,15.09084165770392,4.234567999839783,0.0768808969296515,,,,,127.70927714822,0.3888083469095847,,,,,0.86169814,0.494791666,0.366906474,0.3125,0.182291666,0.312684365,117,420,384,55,64,14,39,190,120,81,22,3,1,30,,31,0.073809523,0.071428571,,,,,,,,,-2.0,,,,,,,,0.0
Gil Hodges,1005883,116008,1B,BRO,3.1417527412838613,,3.36,22.18023990490931,-10.44444465637207,1.0131613744888457,,,,,125.39847338455093,0.3934005630297923,,,,,0.874950523,0.50802139,0.366929133,0.283422459,0.224598931,0.278508771,153,646,561,98,113,32,60,285,159,99,26,2,6,73,,73,0.113003095,0.113003095,,,,,,,,,-1.0,,,,,,,,0.0
Sherm Lollar,1007714,117877,C,SLB,3.080113043730557,,2.9,7.096691161969034,7.728394985198975,0.2434011430013924,,,,,110.49394610042329,0.3881697678922588,,,,,0.84052059,0.449494949,0.391025641,0.28030303,0.169191919,0.273743016,126,474,396,55,65,13,38,178,111,73,22,3,2,64,,25,0.052742616,0.135021097,,,,,,,,,1.0,,,,,,,,0.0
Dick Sisler,1012020,122281,OF,PHI,3.064039433642305,,3.46,13.143983291762684,-0.7654318809509277,0.0131613595876842,,,,,117.16391791583553,0.3742608742778914,,,,,0.814766075,0.4416826,0.373083475,0.296367112,0.145315488,0.308695652,141,593,523,79,83,13,46,231,155,109,29,4,1,64,,50,0.084317032,0.107925801,,,,,,,,,6.0,,,,,,,,0.0
Al Zarilla,1014420,124745,OF,BOS,3.053984801596664,,2.92,20.02897710748642,-8.320987701416016,-1.1150079746730626,,,,,127.6013365292869,0.4184583849569414,,,,,0.915436515,0.492569002,0.422867513,0.324840764,0.167728238,0.346987951,130,556,471,92,74,9,51,232,153,102,32,10,2,76,,47,0.084532374,0.136690647,,,,,,,,,-2.0,,,,,,,,0.0
Irv Noren,1009628,119834,OF,WAS,3.0369595492410175,,3.39,10.083486692925838,-0.796296238899231,-0.0712048611603677,,,,,111.98421745406422,0.380829197685379,,,,,0.834205011,0.459409594,0.374795417,0.295202952,0.164206642,0.323725055,138,615,542,80,98,14,51,249,160,109,27,10,5,67,,77,0.125203252,0.108943089,,,,,,,,,1.0,,,,,,,,0.0
