Name,PlayerId,MLBAMID,Pos,Team,fWAR,fWAR,bWAR,Off,Def,BsR,Barrel%,HardHit%,EV,maxEV,wRC+,wOBA,xwOBA,wOBA-xwOBA,xBA,xSLG,OPS,SLG,OBP,AVG,ISO,BABIP,G,PA,AB,R,RBI,HR,XBH,TB,H,1B,2B,3B,SB,BB,IBB,SO,K%,BB%,Chase%,Chase%,Whiff%,Whiff%,WPA,Clutch,FRV,OAA,DRS,FRM,TZ,Swing%,Z-Swing%,O-Contact%,Z-Contact%,Zone%,BatSpd,Squared-Up%,Inn
Aramis Ramirez,1002,133380,3B,CHC,4.513167912686953,,2.97,25.10838237517833,-0.5401129722595215,1.911451754625887,,,,,128.65149167835628,0.3857250727456191,,,,,0.897895502,0.518050541,0.379844961,0.288808664,0.229241877,0.302961275,149,645,554,97,111,27,72,287,160,88,44,1,2,74,7,94,0.145736434,0.114728682,0.27470817,,0.18798283000000005,,3.0665459632873535,0.2441460764991725,0.0,0.0,-9.0,0.0,,0.46805946,0.6744186,0.66855524,0.87438424,0.4837284,,,1282.2
Mike Aviles,5986,449107,SS,KCR,4.349672920623037,,4.67,13.820981210470856,14.571829319000244,4.736299006035551,,,,,116.72252746139218,0.3595279928475823,,,,,0.833455099,0.479713603,0.353741496,0.324582338,0.155131265,0.356940509,102,441,419,68,51,10,41,201,136,95,27,4,8,18,4,58,0.131519274,0.040816326,0.37535411,,0.15203144999999996,,1.3759143352508545,0.3496386896809125,0.0,0.0,12.0,0.0,,0.51658768,0.6459144,0.76603774,0.89156627,0.52200406,,,890.5
Josh Hamilton,1875,285078,CF,TEX,4.272898530677624,,5.46,34.61792261229402,-16.086267590522766,7.096271117217839,,,,,131.73456865197178,0.3836735053028134,,,,,0.901187353,0.530448717,0.370738636,0.304487179,0.225961538,0.332631578,156,704,624,98,130,32,72,331,190,118,35,5,9,64,9,126,0.178977272,0.09090909,0.34740015,,0.26612305,,3.5986382961273193,-0.0443315842937184,0.0,0.0,-7.0,0.0,,0.54971475,0.78793256,0.62039046,0.79279279,0.4592502,,,1201.0
Shane Victorino,1677,425664,CF,PHI,4.2632121056565815,,4.39,15.574405146590644,7.064182281494141,8.113727807300165,,,,,109.47953742925836,0.3507902050210583,,,,,0.799458453,0.447368421,0.352090032,0.292982456,0.154385965,0.314168377,146,627,570,102,58,14,52,255,167,115,30,8,36,45,2,69,0.110047846,0.071770334,0.31331331,,0.11654527000000003,,0.0132360849529504,-1.06483470583799,0.0,0.0,9.0,0.0,,0.44531974,0.55910267,0.78913738,0.92901235,0.53707136,,,1235.1
Ichiro Suzuki,1101,400085,RF,SEA,4.258437540851,,5.36,11.915439996127375,4.915655612945557,10.311781026422976,,,,,101.7380448040034,0.3284022215276713,,,,,0.746887188,0.386297376,0.360589812,0.310495626,0.07580175,0.334410339,162,749,686,103,42,6,33,265,213,180,20,7,43,51,12,65,0.086782376,0.068090787,0.30678233,,0.08741259000000001,,1.1038774251937866,0.4848501996930836,0.0,0.0,9.0,0.0,,0.45432883,0.604,0.84832905,0.94569536,0.49642573,,,1389.3000000000002
Milton Bradley,369,150396,RF,TEX,4.2524588138914945,,5.18,33.63418174209496,-8.60171389579773,-3.3787173009477556,,,,,158.9133466586678,0.4242329376359139,,,,,0.998951244,0.562801932,0.436149312,0.321256038,0.241545894,0.388111888,126,510,414,78,77,22,55,233,133,78,32,1,5,80,13,112,0.219607843,0.156862745,0.19176598,,0.25829384,,2.6961355209350586,-1.31187391525519,0.0,0.0,4.0,0.0,,0.44444444,0.68340164,0.49152542,0.80809595,0.51395471,,,165.1
Dan Uggla,3442,462564,2B,FLA,4.194105827653052,,4.43,19.09863056547176,3.1035220623016357,-1.204526798101142,,,,,126.13059869662202,0.3753576068660369,,,,,0.874382774,0.514124293,0.360258481,0.259887005,0.254237288,0.320241691,146,619,531,97,92,32,70,273,138,68,37,1,5,77,6,171,0.276252019,0.124394184,0.22827804,,0.28971963,,2.694664478302002,0.3903872679037312,0.0,0.0,4.0,0.0,,0.42359462,0.61984127,0.51211073,0.78361076,0.49881235,,,1272.2
Jacoby Ellsbury,4727,453056,CF,BOS,4.184338705773831,,3.03,2.116695321266774,18.810315370559692,9.219077142653989,,,,,90.53288852176436,0.3228273234557156,,,,,0.729038995,0.393501805,0.33553719,0.279783393,0.113718412,0.311965811,145,609,554,98,47,9,38,218,155,117,22,7,50,41,2,80,0.131362889,0.067323481,0.26421053,,0.10485650999999996,,-0.3570523858070373,-0.1154723452084036,0.0,0.0,13.0,0.0,,0.43101808,0.56857639,0.78087649,0.9389313,0.54804948,,,1173.3000000000002
Mark DeRosa,1392,136660,2B,CHC,4.160668332730803,,1.81,20.190778578779664,2.5106852650642395,4.450635368004441,,,,,121.14610647558274,0.3743123499875141,,,,,0.856822635,0.481188118,0.375634517,0.285148514,0.196039604,0.318652849,149,593,505,103,87,21,54,243,144,90,30,3,6,69,0,106,0.178752107,0.116357504,0.21596244,,0.19653768000000005,,1.6647740602493286,-0.0182800718101194,0.0,0.0,-18.0,0.0,,0.43278978,0.62458472,0.62173913,0.85904255,0.53063023,,,1238.3
Curtis Granderson,4747,434158,CF,DET,4.0945906884789265,,3.89,28.35537628988377,-9.020057439804075,7.664243574952707,,,,,126.703266404891,0.3730968020179055,,,,,0.858320567,0.493670886,0.364649681,0.28028933,0.213381556,0.315914489,141,629,553,112,66,22,61,273,155,94,26,13,12,71,1,111,0.176470588,0.112877583,0.2122571,,0.20333988000000003,,2.7517237663269043,0.5206894215178584,0.0,0.0,-10.0,0.0,,0.39048715,0.5784082,0.5528169,0.89100817,0.4867664,,,1188.0
