Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA,ERA,xERA,FIP,xFIP,fWAR,NameASCII,PlayerId,MLBAMID,K/BB,K%,BB%,K-BB%,AVG,WHIP,ERA-,FIP-,xFIP-,E-F,SIERA,QS,CG,ShO,HLD,BS,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,WPA,-WPA,+WPA,RE24,REW,pLI,inLI,gmLI,exLI,Pulls,WPA/LI,Clutch,SD,MD,Chase%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Whiff%,Zone%,Pace,Year,bWAR,EV,Barrel%,HardHit%
James Shields,TBD,12,8,0,31,31,215.0,7.702326128037998,1.5069768511378692,1.172093106440565,0.2824675324675325,0.7183908,0.433811802,0.110671936,90.69258996212122,3.851163064018999,,3.862860998872685,3.6460310819662007,4.022736072540283,James Shields,7059,448306,5.11111111,0.21052632,0.04118993,0.16933638,0.2439613526570048,1.1069768227494226,86.34291612905741,87.90251492298773,82.32517536333239,-0.0116979348536858,3.5751335774137125,20,1,0,0,0,874,202,98,92,28,36,0,10,9,0,184,2.600536108016968,-13.557988166809082,16.158523559570312,21.183300018310547,2.1171586513519287,0.9524962306022644,0.918047308921814,0.8774193525314331,1.2520266771316528,30,2.4179670810699463,0.3122653591914139,0,0,0.29787234,0.62368421,0.47249647,0.62244898,0.85232068,0.21492537,0.53596615,,2007,5.51,,,
Johan Santana,MIN,15,13,0,33,33,219.0,9.657534246575343,2.136986301369863,1.356164383561644,0.2707581227436823,0.78319502,0.380208333,0.131474103,92.05593704971182,3.328767123287671,,3.819513816485122,3.298384254599271,4.007329940795898,Johan Santana,755,276371,4.51923077,0.26765376,0.05922551,0.20842825,0.2226277372262773,1.0730593607305936,74.91023244368992,88.4687811642349,74.62551064963954,-0.4907466931974507,3.1660414392801592,21,1,1,0,0,878,183,88,81,33,52,0,4,7,1,235,1.3597139120101929,-13.366055488586426,14.725769996643066,28.965999603271484,2.8174355030059814,0.8775314688682556,0.8635644316673279,0.8717454671859741,0.8784062266349792,32,2.547926664352417,-0.998450707935944,0,0,0.30973451,0.67826087,0.51606621,0.50714286,0.74871795,0.31509434000000003,0.55988315,,2007,5.01,,,
Cole Hamels,PHI,15,5,0,28,28,183.1,8.689091150154562,2.110909149472578,1.2272727613212655,0.2787878787878788,0.78735632,0.418650793,0.128205128,90.92855093573446,3.3872728212466936,,3.8341506117261153,3.3957260155641973,3.943675756454468,Cole Hamels,4972,430935,4.11627907,0.23822342,0.05787349,0.18034993,0.2338593974175035,1.123636394809692,74.45349541396497,83.37506171838443,75.14872369811312,-0.4468777904794216,3.4289025964383995,16,2,0,0,0,743,163,72,69,25,43,4,3,5,0,177,2.6320579051971436,-11.67552375793457,14.307581901550291,25.006999969482425,2.413301467895508,1.0089129209518433,0.9681296944618224,0.8711643218994141,0.9226153492927552,26,1.794787883758545,0.8140179413407802,0,0,0.38064516,0.65914787,0.53737659,0.61864407,0.77946768,0.27034121,0.56276446,,2007,4.06,,,
Greg Maddux,SDP,14,11,0,34,34,198.0,4.727273091578096,1.1363637239370423,0.6363636854047436,0.3039647577092511,0.68846816,0.514792899,0.071428571,80.9271435546875,4.136363955130833,,3.5779890051472885,3.9005982836130433,3.9009220600128174,Greg Maddux,104,118120,4.16,0.1253012,0.03012048,0.09518072,0.2765957446808511,1.2424243381711662,102.46157365281768,82.50822523834952,86.52833776363778,0.5583749499835449,4.122119773225711,18,1,0,0,0,830,221,92,91,14,25,3,6,5,0,104,0.7114219665527344,-13.017494201660156,13.72891616821289,7.951200008392334,0.7706858515739441,0.9195247888565063,0.8623077869415283,0.8779411911964417,1.0431514978408811,33,0.2336132377386093,0.5400711426873253,0,0,0.29542484,0.59562842,0.47235641,0.77876106,0.90366972,0.12840909,0.58937198,,2007,2.56,,,
Ted Lilly,CHC,15,8,0,34,34,207.0,7.565217391304348,2.391304347826087,1.2173913043478262,0.2606473594548552,0.74074074,0.336717428,0.096551724,89.04465588521401,3.8260869565217392,,4.157479536821302,4.156499140043766,3.7505600452423096,Ted Lilly,833,150404,3.16363636,0.20543093,0.06493506,0.14049587,0.229404309252218,1.140096618357488,83.01063338423974,91.14440977384264,92.29623821987182,-0.3313925802995623,4.067821260308115,20,0,0,0,0,847,181,91,88,28,55,2,3,7,0,174,2.1300439834594727,-11.857121467590332,13.98716640472412,23.050600051879883,2.134751796722412,0.8721511960029602,0.8376530408859253,0.8767353296279907,0.7880764603614807,34,2.36230731010437,0.0799802120837469,0,0,0.2492163,0.63605442,0.47368421,0.79245283,0.85918004,0.15555556000000004,0.58026316,,2007,4.08,,,
Chien-Ming Wang,NYY,19,7,0,30,30,199.1,4.695652293729043,2.6638796666347457,0.4063545254188595,0.2954898911353033,0.71823204,0.584496124,0.06,94.077859375,3.702341231594054,,3.7914446196499183,4.148489237457048,3.736495733261109,Chien-Ming Wang,2074,425426,1.76271186,0.12636695,0.07168894,0.05467801,0.2632275132275132,1.294314414297108,82.22937914563684,85.59636783772379,93.45359370456104,-0.0891033880558653,4.256620408382699,20,1,0,0,0,823,199,84,82,9,59,1,8,9,1,104,2.165881872177124,-13.426250457763672,15.592127799987791,26.1033992767334,2.51411509513855,1.002251386642456,0.9007696509361268,0.8717066645622253,0.8475103378295898,29,2.345545768737793,-0.1845291804416846,0,0,0.25622776,0.64848485,0.46808511,0.63888889,0.91121495,0.15734265999999997,0.5400982,,2007,5.02,,,
Gil Meche,KCR,9,13,0,34,34,216.0,6.5000004591765554,2.58333351582658,0.9166667314223348,0.2956259426847662,0.73354481,0.468148148,0.092050209,92.40365817535545,3.6666669256893383,,4.022012603364695,4.085989249490569,3.7259089946746826,Gil Meche,1089,219194,2.51612903,0.17218543,0.06843267,0.10375276,0.2592152199762187,1.2962963878699685,79.92877002894359,91.11462094418472,92.06934706668274,-0.3553456776753565,4.230066495724409,23,1,0,0,0,906,218,98,88,22,62,2,3,3,0,156,1.3419519662857056,-15.11868381500244,16.460636138916016,16.0231990814209,1.5394747257232666,0.984014332294464,0.9250536561012268,0.8608411550521851,1.1530970335006714,33,1.803627371788025,-0.439874911845064,0,0,0.31891892,0.6086351,0.46159122,0.71610169,0.88100686,0.17682021000000003,0.49245542,,2007,4.15,,,
Jeff Francis,COL,17,9,0,34,34,215.1,6.896284992614486,2.6331269971800766,1.0448916655476497,0.3157099697885196,0.7472119,0.443946188,0.100401606,84.54198592748398,4.2213623288125035,,4.191617547073894,4.132934948413774,3.723914384841919,Jeff Francis,4684,433585,2.61904762,0.17895879,0.06832972,0.11062907,0.2746478873239437,1.3792569985228973,88.18464897150974,89.49119653682547,91.76511099525383,0.0297447817386098,4.20346444142522,19,1,1,0,0,922,234,103,101,25,63,7,7,1,1,165,2.685918092727661,-13.818648338317873,16.504566192626953,24.465599060058594,2.17602276802063,0.9303283095359802,0.880215048789978,0.8750235438346863,0.9465394020080566,33,1.6185548305511477,1.2685099456108468,0,0,0.28110599,0.63680782,0.45375494,0.71584699,0.84654731,0.19512195,0.48537549,,2007,3.93,,,
Adam Wainwright,STL,14,12,0,32,32,202.0,6.0594059405940595,3.118811881188119,0.5792079207920792,0.3042813455657492,0.72580645,0.481538461,0.058295964,88.80003630809294,3.698019801980198,,3.9029714773196993,4.451225896991126,3.719787120819092,Adam Wainwright,2233,425794,1.94285714,0.15419501,0.07936508,0.07482993,0.2640099626400996,1.396039603960396,85.6554198123493,88.65854786698524,98.93925856600056,-0.2049516753395011,4.55025406299773,21,1,0,0,0,882,212,93,83,13,70,4,9,6,0,136,1.0833120346069336,-16.183218002319336,17.26653289794922,14.904800415039062,1.4881477355957031,1.0943223237991333,0.9707311987876892,0.8731250166893005,1.0369935035705566,31,0.9565533995628356,0.03338531506196,0,0,0.26942149,0.57073171,0.42131148,0.62576687,0.88319088,0.19844357999999995,0.50409836,,2007,2.76,,,
Justin Verlander,DET,18,6,0,32,32,201.2,8.166941942780753,2.9900825692148114,0.8925619609596451,0.2790294627383015,0.74895397,0.411167512,0.085106382,94.62522903094462,3.659504039934545,,3.9933241299408473,4.165891385755335,3.65236759185791,Justin Verlander,8700,434378,2.73134328,0.2113164,0.07736721,0.13394919,0.232051282051282,1.2297520350999556,80.38925795948738,89.4508223491009,93.83901562314897,-0.3338200900063022,3.9716227000004753,21,1,1,0,0,866,181,88,82,20,67,3,19,17,2,183,1.82045578956604,-13.585426330566406,15.405881881713867,23.117700576782227,2.163184881210327,0.9904728531837464,0.8949480056762695,0.8728437423706055,1.0734580755233765,31,2.181041955947876,-0.3430755909794456,0,0,0.27994792,0.67961165,0.48680905,0.71162791,0.84107143,0.19483870999999997,0.51758794,,2007,4.16,,,
Jon Garland,CHW,10,13,0,32,32,208.1,4.23360041343754,2.4624002404687735,0.8208000801562578,0.2836879432624113,0.65509077,0.394366197,0.070895522,89.81895173568819,4.23360041343754,,4.362805250373547,4.7909588619791235,3.4919135570526123,Jon Garland,232,279782,1.71929825,0.11098528,0.06455266,0.04643262,0.2664233576642336,1.324800129375013,90.94306164917488,93.788906107461,107.68297912717252,-0.1292048369360063,5.1014952718041275,21,2,1,0,0,883,219,114,98,19,57,3,4,1,0,98,1.1393020153045654,-15.044737815856934,16.184040069580078,5.551599979400635,0.4667432010173797,0.9897285103797911,0.9452782273292542,0.8720375299453735,1.3134866952896118,30,1.3501852750778198,-0.1990594831499124,0,0,0.26573427,0.62762238,0.45874126,0.81203008,0.90668524,0.11890244000000005,0.53333333,,2007,3.93,,,
Félix Hernández,SEA,14,7,0,30,30,190.1,7.8021011591922385,2.506129463255689,0.9457092314172412,0.3333333333333333,0.74683544,0.60831889,0.150375939,95.60432072996184,3.9246933103815502,,3.7544912777909776,3.265059732531421,3.4783384799957275,Felix Hernandez,4772,433587,3.11320755,0.20420792,0.06559406,0.13861386,0.2779255319148936,1.37653232572954,89.47758330593645,86.22583833828833,73.88744078543311,0.1702020325905726,3.3175497516333254,15,1,1,0,0,808,209,88,83,20,53,4,3,7,1,165,1.3257380723953247,-13.2322416305542,14.557979583740234,9.91469955444336,0.9605518579483032,0.9703401923179626,0.895372748374939,0.8799999952316284,1.0101655721664429,29,0.8122947812080383,0.5539663330805313,0,0,0.28148148,0.57659738,0.45231729,0.55263158,0.85847797,0.22167488000000002,0.57887701,,2007,3.93,,,
