Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA,ERA,xERA,FIP,xFIP,fWAR,NameASCII,PlayerId,MLBAMID,K/BB,K%,BB%,K-BB%,AVG,WHIP,ERA-,FIP-,xFIP-,E-F,SIERA,QS,CG,ShO,HLD,BS,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,WPA,-WPA,+WPA,RE24,REW,pLI,inLI,gmLI,exLI,Pulls,WPA/LI,Clutch,SD,MD,Year,bWAR,EV,Barrel%,HardHit%,Chase%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Whiff%,Zone%
Randy Johnson,SEA,14,11,0,33,33,219.2,7.9484070448651485,4.916540440122772,1.0652504286932674,0.2470784641068447,0.74638233,,,,3.646434159757723,,4.28781350124872,,2.013887405395508,Randy Johnson,60,116615,1.61666667,0.20550847,0.12711864,0.07838983,0.2124542124542124,1.3383915642556437,90.95185981251764,107.4376642208908,,-0.641379341490997,,22,5,2,,,944,174,103,89,26,120,2,5,4,2,194,0.5618102550506592,-16.34638214111328,16.908187866210938,3.592500686645508,0.4165402352809906,1.033581018447876,0.914457619190216,0.8769030570983887,1.6775857210159302,28,-0.8825452923774719,1.4261023479185335,0,0,1990,2.17,,,,,,,,,,
Randy Myers,CIN,4,6,31,66,0,86.2,10.17692427144262,3.946154309334894,0.6230769962107727,0.2548076923076923,0.82969432,,,,2.076923320702576,,2.8659913314164753,,1.9763933420181272,Randy Myers,1009427,119626,2.57894737,0.2776204,0.10764873,0.16997167,0.1891025641025641,1.1192309006008323,52.92764476729358,71.79910672201557,,-0.7890680107138994,,0,0,0,,,353,59,24,20,6,38,8,3,2,1,98,3.0968661308288574,-8.629555702209473,11.726428031921388,21.184999465942383,2.3602828979492188,1.8224272727966309,1.80359411239624,1.8767303228378296,1.793142795562744,7,2.0378544330596924,-0.3385459464847966,33,11,1990,3.06,,,,,,,,,,
Dave LaPoint,NYY,7,10,0,28,27,157.2,3.824524600134927,3.2537000329506096,0.6279070239027492,0.3028673835125448,0.6918239,,,,4.1099368837270855,,3.96897563689396,,1.9490020405501127,Dave LaPoint,1007338,117495,1.1754386,0.09654179,0.08213256,0.01440922,0.2830188679245283,1.503171360252036,104.11723640380542,99.67168412508543,,0.1409612468331254,,12,2,0,,,694,180,84,72,11,57,3,1,4,0,67,-0.6657620146870613,-12.256439700722694,11.590677864849567,-13.298500254750252,-1.3909405302256346,0.990663494074245,0.8957462317721788,0.842964267624276,1.468930803812467,26,-1.9595066756010056,1.2874701882676327,0,0,1990,0.69,,,,,,,,,,
John Smiley,PIT,9,10,0,26,25,149.1,5.183035890818864,2.169642931040455,0.9040178879335228,0.2961460446247465,0.65168539,,,,4.640625158058751,,3.725709762485053,,1.8709630891680715,John Smiley,1012084,122342,2.38888889,0.13607595,0.05696203,0.07911392,0.271043771043771,1.3191964735029926,125.7944226880032,99.46787689286664,,0.914915395573698,,12,2,0,,,632,161,83,77,15,36,1,2,2,2,86,-0.8416259735822678,-11.07837799191475,10.23675200343132,-11.41699993610382,-1.2215388268232346,0.9376487300655272,0.8935708002474323,0.8784769108662238,1.247708330551783,24,-0.4345869794487953,-0.4630049935318016,0,1,1990,-0.58,,,,,,,,,,
Bob Welch,OAK,27,6,0,35,35,238.0,4.802521008403361,2.911764705882353,0.9831932773109244,0.2526881720430107,0.79352851,,,,2.9495798319327733,,4.194853638801254,,1.848140239715576,Bob Welch,1013750,124064,1.64935065,0.12972421,0.07865169,0.05107252,0.2385730211817168,1.2226890756302522,79.06363399421801,110.12018931826738,,-1.2452738068684803,,24,2,2,,,979,214,90,78,26,77,4,5,2,2,127,2.308958053588867,-14.21221160888672,16.521169662475586,13.128599166870115,1.6944799423217771,0.9610458612442015,0.8997728228569031,0.880337119102478,1.2086000442504885,33,1.334040641784668,1.0685065692293976,0,0,1990,2.94,,,,,,,,,,
Mike Bielecki,CHC,8,11,1,36,29,168.0,5.517857456085651,3.750000212873743,0.6964286109622666,0.3136200716845878,0.66176471,,,,4.928571708348349,,3.927346699524362,,1.8237085044384005,Mike Bielecki,1000951,110979,1.47142857,0.13751669,0.09345794,0.04405875,0.2789317507418398,1.535714372891152,123.07033293611512,100.94168628806872,,1.001225008823987,,14,0,0,,,749,188,101,92,13,70,11,5,11,0,103,-1.3251339197158811,-14.35155376791954,13.026418089866638,-18.437300205230713,-1.928809404373169,1.0231628969405433,0.916535594912826,0.8138444473346075,1.4228066394726435,30,-1.5829729735851288,0.2878381288030414,3,1,1990,0.34,,,,,,,,,,
Gregg Olson,BAL,6,5,37,64,0,74.1,8.959641868669442,3.7533634855236846,0.3632287244055179,0.2783505154639175,0.81797235,,,,2.421524829370119,,2.7141286069214545,,1.8029948472976685,Gregg Olson,1009791,120002,2.38709677,0.24262295,0.10163934,0.14098361,0.2103321033210332,1.1838565832476138,63.12636596866157,69.23949867301714,,-0.2926037775513355,,0,0,0,,,305,57,20,20,3,31,3,3,5,0,74,2.7756059169769287,-8.51294231414795,11.288543701171877,13.43299961090088,1.4764550924301147,2.017540454864502,1.8638774156570437,1.8658969402313232,1.6570667028427124,6,1.1098729372024536,0.2658644911522796,27,9,1990,2.42,,,,,,,,,,
Tom Bolton,BOS,10,5,0,21,16,119.2,4.888579802751019,3.5348192419891986,0.4512535202539403,0.2763157894736842,0.75360419,,,,3.384401401904552,,3.627240590746703,,1.7932713329792025,Tom Bolton,1001155,111183,1.38297872,0.12974052,0.09381238,0.03592814,0.2461197339246119,1.3203343740763438,82.33899743147914,91.53998936739612,,-0.2428391888421512,,11,3,0,,,501,111,46,45,6,47,3,3,1,1,65,1.0958379805088043,-7.825547933578491,8.92138558626175,12.058400481939316,1.1618045130744576,1.0057851473490398,0.9312233384265456,0.7724952428113847,1.4307875260710716,16,1.4510030895471573,-0.3614682287499802,2,0,1990,3.17,,,,,,,,,,
Mark Knudson,MIL,10,9,0,30,27,168.1,2.9940589875318224,2.13861356252273,0.7485147468829556,0.2854785478547855,0.69391635,,,,4.116831107856256,,3.990477069569246,,1.7875317856669426,Mark Knudson,1007065,117218,1.4,0.07788595,0.05563282,0.02225313,0.2766272189349112,1.348514663035166,106.97056512743396,102.67161169206496,,0.1263540382870096,,14,4,2,,,719,187,84,77,14,40,1,3,6,0,56,0.1891979314386844,-12.349605828523636,12.538801729679108,4.760400295257568,0.5665235370397568,0.9987552266928458,0.927583080329252,0.8536866664886474,1.1688614951876493,26,-0.8680960983037949,1.057529831797407,1,0,1990,1.94,,,,,,,,,,
Greg Harris,SDP,8,8,9,73,0,117.1,7.440341231621016,3.758522890200307,0.4602272926775886,0.2590361445783132,0.80527086,,,,2.3011364633879428,,3.17477630556615,,1.7828139066696167,Greg Harris,1005416,115522,1.97959184,0.19877049,0.10040984,0.09836066,0.2114942528735632,1.2017045975470368,60.017636684546794,81.42522571697059,,-0.8736398421782074,,0,0,0,,,488,92,35,30,6,49,13,4,2,3,97,0.8859420418739319,-11.294907569885254,12.1808500289917,13.506000518798828,1.3960516452789309,1.4846876859664917,1.5531657934188845,1.6966904401779177,1.9644949436187744,40,1.1349378824234009,-0.5382184172806644,31,19,1990,3.61,,,,,,,,,,
Ben McDonald,BAL,8,5,0,21,15,118.2,4.929774831888798,2.6544941402478144,0.6825842074922951,0.2176308539944903,0.78804348,,,,2.426966071083716,,3.583579845215369,,1.7792598903179169,Ben McDonald,1008454,118648,1.85714286,0.13771186,0.07415254,0.06355932,0.2013729977116704,1.036516759525337,63.26821287915797,91.42838182352943,,-1.1566137741316531,,11,3,2,,,472,88,36,32,9,35,0,0,5,0,65,2.099034014157951,-6.972959995269775,9.071998059749603,19.200299978256226,2.078132212162018,1.063986497300778,1.0098264344403,0.7442095109394619,1.2038874626159668,16,1.9634688198566437,0.0093325450882872,1,1,1990,3.26,,,,,,,,,,
Fernando Valenzuela,LAD,13,13,0,33,33,204.0,5.073529791254514,3.3970590776225875,0.8382353568159632,0.2960812772133527,0.68763716,,,,4.58823563730843,,4.02398538239321,,1.7337932586669922,Fernando Valenzuela,1013327,123619,1.49350649,0.12777778,0.08555556,0.04222222,0.2709599027946537,1.4705883452911634,123.72013743111192,108.56834855836198,,0.56425025491522,,16,5,2,,,900,223,112,104,19,77,4,0,13,1,115,-1.8981422185897827,-16.804302215576172,14.906160354614258,-22.875198364257812,-2.4180188179016113,0.978800356388092,0.8934291005134583,0.8756666779518127,1.0913000106811523,28,-2.3867886066436768,0.4475349006129714,0,0,1990,-0.13,,,,,,,,,,
Danny Jackson,CIN,6,6,0,22,21,117.1,5.829545328193462,3.0681817516807697,0.8437499817122116,0.2918918918918919,0.73489011,,,,3.605113558224904,,3.805458086248765,,1.7106608040630815,Danny Jackson,1006295,116424,1.9,0.15230461,0.08016032,0.07214429,0.2603938730853392,1.35511360699234,91.87155243214988,95.32479735458422,,-0.2003445280238605,,12,0,0,,,499,119,54,47,11,40,4,2,3,1,76,-0.3151420019567013,-9.59093961585313,9.275798238813875,-1.2670000791549685,-0.1523305550217628,1.1195730287617027,0.9967404623185436,0.854245435107838,1.4772285223007202,21,-0.1843891590833664,-0.0970949369610535,0,0,1990,1.62,,,,,,,,,,
Mark Portugal,HOU,11,10,0,32,32,196.2,6.223729618360825,3.066102091398348,0.9610170734233628,0.2752902155887231,0.73490814,,,,3.6152547047831263,,3.8964347508816135,,1.672342300415039,Mark Portugal,1010460,120690,2.02985075,0.16365824,0.08062575,0.08303249,0.2460526315789473,1.291525590738276,98.85922088781214,108.21589859681588,,-0.2811800460984868,,23,1,0,,,831,187,90,79,21,67,4,4,6,0,136,-0.1801221668720245,-15.66698169708252,15.486856460571287,-3.4029998779296875,-0.2232238352298736,1.0652692317962646,0.9544472098350524,0.8763874769210815,1.467651605606079,31,-0.7450132369995117,0.5759271867356726,0,0,1990,2.55,,,,,,,,,,
Bert Blyleven,CAL,8,7,0,23,23,134.0,4.634327830490815,1.6791042864097154,1.0074625718458292,0.3203463203463203,0.63218391,,,,5.238805373598312,,3.9500899317111218,,1.6652806997299194,Bert Blyleven,1001098,111126,2.76,0.11937716,0.0432526,0.07612457,0.2985347985347985,1.4029849148667846,136.36672642770182,100.06645660555183,,1.2887154418871911,,10,2,0,,,578,163,85,78,15,25,0,7,6,0,69,-0.9225939512252808,-9.860491752624512,8.937897682189941,-16.112098693847656,-1.7210437059402466,0.8978204727172852,0.8127302527427673,0.8762521743774414,1.152657151222229,21,-1.292256236076355,0.2646633271810856,0,0,1990,-0.16,,,,,,,,,,
Jim Neidlinger,LAD,5,3,0,12,12,74.0,5.594594017792365,1.8243241362366407,0.4864864363297708,0.2680851063829787,0.68475452,,,,3.283783445225953,,2.916407113914686,,1.6542308330535889,Jim Neidlinger,1009487,119689,3.06666667,0.15282392,0.04983389,0.10299003,0.2350877192982456,1.1081079938622558,88.54604934276938,78.6945276438646,,0.367376331311267,,8,0,0,,,301,67,30,27,4,15,1,1,0,1,46,1.1186240911483765,-3.9250059127807617,5.043630123138428,6.473999977111816,0.6276208162307739,0.9575865864753724,0.9033316373825072,0.8474000096321106,1.326949954032898,12,1.1815383434295654,-0.0133681675442269,0,0,1990,1.2,,,,,,,,,,
Steve Farr,KCR,13,7,1,57,6,127.0,6.661418323279301,3.4015753140149627,0.4251969142518703,0.2569060773480663,0.8356546,,,,1.984252266508728,,3.194125846551434,,1.6497397422790527,Steve Farr,1003953,114017,1.95833333,0.18252427,0.09320388,0.08932039,0.2142857142857142,1.157480488796758,50.829690672089306,85.11778132896664,,-1.2098735800427058,,2,1,1,,,515,99,32,28,6,48,9,5,2,0,94,1.9205458760261536,-8.775061845779419,10.695607662200928,34.6997013092041,3.493422508239746,1.165365151511699,1.0839343713530412,1.250364899635315,1.0490222424268725,36,2.356716513633728,-0.7086958279843911,13,9,1990,4.77,,,,,,,,,,
Mark Gubicza,KCR,4,7,0,16,16,94.0,6.797872340425532,3.638297872340426,0.4787234042553192,0.3298969072164948,0.69852941,,,,4.5,,3.329575612697196,,1.6409177780151367,Mark Gubicza,1005115,115217,1.86842105,0.17359413,0.09290954,0.0806846,0.2752043596730245,1.4787234042553192,115.27445974742736,88.72845462387991,,1.1704243873028042,,8,2,0,,,409,101,48,47,5,38,4,4,2,1,71,-0.1908300817012787,-7.332347869873047,7.1415181159973145,-1.0486997365951538,-0.1121056973934173,1.017387866973877,0.8475194573402405,0.8425624966621399,1.073014259338379,14,-0.2046549916267395,0.0170863288817388,0,0,1990,1.19,,,,,,,,,,
Bobby Thigpen,CHW,4,6,57,77,0,88.2,7.105263973065595,3.248120673401415,0.5075188552189711,0.2301255230125523,0.84883721,,,,1.827067878788296,,3.078975739735966,,1.62818443775177,Bobby Thigpen,1012958,123230,2.1875,0.20172911,0.09221902,0.10951009,0.1910828025477707,1.0375941040032295,46.52439681351443,80.32260368659732,,-1.25190786094767,,0,0,0,,,347,60,20,18,5,32,3,1,2,0,70,3.945756196975708,-10.04511833190918,13.990874290466309,26.513999938964844,2.757129430770874,2.0513803958892822,2.1193978786468506,2.1392364501953125,2.475100040435791,4,1.1379741430282593,0.7854897863738766,50,9,1990,3.45,,,,,,,,,,
Randy Tomlin,PIT,4,4,0,12,12,77.2,4.86695247097081,1.390557848848803,0.5793991036870013,0.240506329113924,0.75,,,,2.5493560562228055,,3.065809729702293,,1.6216106414794922,Randy Tomlin,1013111,123389,3.5,0.14141414,0.04040404,0.1010101,0.2183098591549295,0.95278963717418,69.10594206511269,81.85578093548061,,-0.5164536734794876,,9,2,0,,,297,62,24,22,5,12,1,1,1,3,42,1.0555859804153442,-4.1884002685546875,5.243986129760742,12.962400436401367,1.4202215671539309,0.9256489276885986,0.954662263393402,0.8733333349227905,1.840220093727112,10,0.9584380388259888,0.1819359721407891,0,0,1990,1.46,,,,,,,,,,
Jeff Montgomery,KCR,6,5,24,73,0,94.1,8.968197638085096,3.2438161669669494,0.5724381471118146,0.2873563218390804,0.75268817,,,,2.3851589462992275,,2.882503961948491,,1.5722880363464355,Jeff Montgomery,1009071,119266,2.76470588,0.235,0.085,0.15,0.224376731301939,1.219081239219605,61.09953532141923,76.81090233712278,,-0.4973450156492633,,0,0,0,,,400,81,36,25,6,34,8,5,3,0,94,0.2088840156793594,-12.353989601135254,12.562870025634766,4.832000255584717,0.4529598653316498,1.777520775794983,1.5800914764404297,1.545865774154663,1.4080713987350464,14,0.1949944347143173,-0.0774801876102644,26,13,1990,1.94,,,,,,,,,,
Steve Avery,ATL,3,11,0,21,20,99.0,6.818181818181818,4.090909090909091,0.6363636363636364,0.3382789317507418,0.56257901,,,,5.636363636363637,,3.636581845235343,,1.539061103016138,Steve Avery,1706,110397,1.66666667,0.16094421,0.09656652,0.06437768,0.2887828162291169,1.676767676767677,141.34649736084464,93.2078820902688,,1.9997817911282936,,6,1,1,,,466,121,79,62,7,45,2,2,5,1,75,-2.8713199496269226,-11.298267900943756,8.426951542496681,-26.847999095916748,-2.9002068638801575,1.1511468629837036,0.9831513585867704,0.9101904857726324,1.1769052743911743,19,-2.192600578069687,-0.3017118697657124,0,1,1990,-1.53,,,,,,,,,,
Tim Belcher,LAD,9,9,0,24,24,153.0,6.000000598383944,2.8235296933571505,1.0000000997306575,0.259825327510917,0.67817509,,,,4.00000039892263,,3.8998023937827098,,1.525130271911621,Tim Belcher,1000789,110809,2.125,0.16267943,0.07655502,0.0861244,0.2357019064124783,1.20261449902249,107.85858403940192,105.21886033892144,,0.1001980051399202,,12,5,2,,,627,136,76,68,17,48,0,2,6,1,102,-0.2028619796037674,-10.298580169677734,10.095718383789062,-2.991999387741089,-0.3479857444763183,0.9211336374282836,0.8809328079223633,0.8720333576202393,0.8536315560340881,19,0.7844110131263733,-1.004641793287804,0,0,1990,0.76,,,,,,,,,,
Steve Olin,CLE,4,4,1,50,1,92.1,6.238267491654902,2.534296168484804,0.2924187886713235,0.3152542372881356,0.70274637,,,,3.4115525344987745,,2.884111295496932,,1.5133413225412369,Steve Olin,1009768,119978,2.46153846,0.16243655,0.06598985,0.0964467,0.2651933701657458,1.3212997117741283,85.7910836120024,74.20300531017426,,0.5274412390018424,,1,0,0,,,394,96,41,35,3,26,2,6,0,0,64,0.7607980221509933,-4.813093990087509,5.573891997337341,0.6565995216369629,0.1253571063280105,0.787066663183817,0.9039582604947296,1.1692760133743283,1.145217692150789,34,0.5223753452301025,0.444249284853247,11,8,1990,0.83,,,,,,,,,,
Tom Henke,TOR,2,4,32,61,0,74.2,9.040179803055327,2.290178883440683,0.9642858456592348,0.2577319587628865,0.89820359,,,,2.1696431527332787,,2.995799042497366,,1.4578629732131958,Tom Henke,1005649,115765,3.94736842,0.25252525,0.06397306,0.18855219,0.2093862815884476,1.0312501404966818,54.949678560993966,74.36908710876492,,-0.8261558897640873,,0,0,0,,,297,58,18,18,8,19,2,1,6,0,75,1.8066439628601072,-7.039802074432373,8.846442222595215,21.31599998474121,2.175976514816284,1.637684941291809,1.61638605594635,1.6694557666778564,2.7925331592559814,3,0.6442604064941406,0.4589090232955863,25,7,1990,2.97,,,,,,,,,,
Terry Leach,MIN,2,5,2,55,0,81.2,5.069387439376679,2.314285570150223,0.2204081495381165,0.2992700729927007,0.72674419,,,,3.195918168302689,,2.808299016952515,,1.4566758871078491,Terry Leach,1007427,117581,2.19047619,0.13372093,0.06104651,0.07267442,0.2608695652173913,1.2857142056390127,78.13334731449902,71.82950956014803,,0.3876191513501741,,0,0,0,,,344,84,31,29,2,21,10,1,1,1,46,-0.7174938917160034,-5.947711944580078,5.230217933654785,9.432000160217283,0.8953031301498413,0.998306691646576,1.076427340507507,1.2893455028533936,1.3378230333328247,26,0.716856062412262,-1.4355669532834745,12,15,1990,1.72,,,,,,,,,,
Doug Jones,CLE,5,5,43,66,0,84.1,5.869565040390405,2.347826016156162,0.5335968218536732,0.2469635627530364,0.77108434,,,,2.5612647448976316,,3.1284571100647187,,1.433465838432312,Doug Jones,1006552,116682,2.5,0.16616314,0.06646526,0.09969789,0.2149837133550488,1.0434782294027387,64.40870414861426,80.49185589652089,,-0.5671923651670872,,0,0,0,,,331,66,26,24,5,22,4,2,2,0,55,1.8131040334701536,-10.143145561218262,11.956250190734863,19.72099876403809,1.994618535041809,1.9191584587097168,1.8519768714904783,1.9166151285171509,1.1571999788284302,2,1.6994030475616455,-0.7546639483790096,33,9,1990,2.43,,,,,,,,,,
Bryan Harvey,CAL,4,4,25,54,0,64.1,11.471504858047576,4.896374024776405,0.5595856028315891,0.2808219178082192,0.75268817,,,,3.217617216281637,,2.699490705290817,,1.4322766065597534,Bryan Harvey,1005469,115583,2.34285714,0.3071161,0.13108614,0.17602996,0.1939655172413793,1.2435235618479756,83.75495850504653,68.37704017269664,,0.5181265109908204,,0,0,0,,,267,45,24,23,4,35,6,0,7,1,82,0.0324319824576377,-7.552390098571777,7.584822177886963,9.788999557495115,1.0287861824035645,1.7396131753921509,1.544994592666626,1.5737593173980713,1.8385428190231323,7,0.8344042897224426,-0.8157610747155623,22,10,1990,1.25,,,,,,,,,,
Storm Davis,KCR,7,10,0,21,20,112.0,4.982143196524429,2.812500191586371,0.7232143349793526,0.3061224489795918,0.64729194,,,,4.741071751531312,,3.683299076557163,,1.421559621579945,Storm Davis,1003080,113105,1.77142857,0.12449799,0.07028112,0.05421687,0.2786177105831533,1.4642858140322694,121.44988550701358,98.15763195718732,,1.057772674974148,,7,0,0,,,498,129,66,59,9,35,1,0,8,1,62,-1.078276053071022,-9.129762411117554,8.051486074924469,-12.004400491714478,-1.2927353754639626,0.9510608023288204,0.8361882688635487,0.8499333645616259,1.1177999838477088,21,-0.4974836856126785,-0.6362777420801624,0,1,1990,0.2,,,,,,,,,,
Tony Castillo,ATL,5,1,1,52,3,76.2,7.513044662043104,2.3478264568884697,0.5869566142221174,0.3562753036437247,0.68224299,,,,4.226087622399246,,2.808299016952515,,1.4164320826530457,Tony Castillo,1002069,112109,3.2,0.18991098,0.05934718,0.1305638,0.2943037974683544,1.473913275713317,105.98015342947882,71.98552867960105,,1.4177886054467308,,0,0,0,,,337,93,41,36,5,20,3,1,2,2,64,0.3348200395703316,-4.0046080350875854,4.339427947998047,-6.737000226974487,-0.5622186064720154,0.7412393308348126,0.90863073670987,1.157782725416697,0.8804222265879313,45,-0.2674952149391174,0.7191982285841761,11,9,1990,0.21,,,,,,,,,,
Paul Assenmacher,CHC,7,2,10,74,1,103.0,8.30096964405102,3.1456306019561766,0.8737862783211602,0.2816901408450704,0.83185841,,,,2.7961160906277125,,3.303444574667839,,1.4039708077907562,Paul Assenmacher,1000344,110358,2.63888889,0.22300469,0.08450704,0.13849765,0.2313624678663239,1.2233007896496242,69.82122987450688,84.91092755198814,,-0.5073284840401264,,0,0,0,,,426,90,33,32,10,36,8,1,2,0,95,1.1088480055332184,-9.796857565641403,10.905705660581589,17.99600124359131,1.816685527563095,1.4934696947058586,1.4433660724366355,1.6301702107932117,1.4818226065275804,53,1.3225480020046234,-0.5800836524005238,27,12,1990,3.74,,,,,,,,,,
Mike Witt,- - -,5,9,1,26,16,117.0,5.6923075067142745,3.6153844975077143,0.6923076697355198,0.2672176308539944,0.66024759,,,,3.999999869583004,,3.876675050494984,,1.3970334194600582,Mike Witt,1014174,124491,1.57446809,0.14859438,0.09437751,0.05421687,0.2376681614349775,1.307692265055982,101.54667925620365,97.51132843398894,,0.1233248190880198,,8,2,1,,,498,106,62,52,9,47,4,5,7,0,74,-0.7735458761453629,-9.437822103500366,8.664275884628296,-4.99880051612854,-0.5623660534620285,1.010946581147352,0.9449986276172456,1.0414615411024828,0.8944000244140625,20,0.2686957791447639,-1.0338656610859478,4,2,1990,0.47,,,,,,,,,,
Scott Sanderson,OAK,17,11,0,34,34,206.1,5.583199258112179,2.8788371174640925,1.177706093508038,0.2696969696969697,0.74198988,,,,3.882068234156125,,4.286489792754784,,1.3835313320159912,Scott Sanderson,1011422,121678,1.93939394,0.14463277,0.07457627,0.0700565,0.2515337423312883,1.31340885325382,104.05903196211426,112.52635125940029,,-0.404421558598659,,16,2,1,,,885,205,99,89,27,66,2,4,7,1,128,-0.8726217746734619,-13.95124340057373,13.078621864318848,-11.218500137329102,-1.2040696144104004,0.8713515996932983,0.7989545464515686,0.8423470854759216,1.0976500511169434,32,-1.836382508277893,0.8349248016751731,0,0,1990,0.34,,,,,,,,,,
Jeff Brantley,SFG,5,3,19,55,0,86.2,6.334616685788574,3.4269237808364417,0.3115385255305856,0.2835249042145594,0.87316176,,,,1.5576926276529282,,3.09676061466602,,1.3828929662704468,Jeff Brantley,1001358,111397,1.84848485,0.16897507,0.09141274,0.07756233,0.2369230769230769,1.269231029939423,42.44615710813691,82.65115737062315,,-1.539067987013092,,0,0,0,,,361,77,18,15,3,33,6,3,0,3,61,2.7283239364624023,-9.864496231079102,12.592820167541504,24.03999900817871,2.5035886764526367,1.9165928363800049,1.7201170921325684,2.0195891857147217,1.8713912963867188,23,1.253515362739563,0.1700128299336223,29,11,1990,3.61,,,,,,,,,,
Chris Bosio,MIL,4,9,0,20,20,132.2,5.155779289803762,2.577889644901881,1.0175880177244268,0.2729411764705882,0.69536424,,,,4.002512869716078,,4.059555394302551,,1.3754324913024902,Chris Bosio,1001212,111249,2.0,0.13644524,0.06822262,0.06822262,0.253875968992248,1.2738694444105787,104.0001526383496,104.44940286198744,,-0.0570425245864729,,7,4,1,,,557,131,67,59,15,38,1,3,7,0,76,-0.6311319470405579,-9.71742820739746,9.086296081542969,-0.4516001045703888,-0.0691453889012336,0.931068241596222,0.8347943425178528,0.871999979019165,1.1271624565124512,16,0.032698206603527,-0.7105560894570397,0,0,1990,1.37,,,,,,,,,,
Alex Fernandez,CHW,5,5,0,13,13,87.2,6.2623570511179265,3.49049409406573,0.6159695460115994,0.3029197080291971,0.73129252,,,,3.7984788670715295,,3.572557527744684,,1.3552916049957275,Alex Fernandez,1003993,114073,1.79411765,0.16137566,0.08994709,0.07142857,0.2609970674486803,1.403041743693087,96.72434185454884,93.20324833996864,,0.2259213393268453,,10,3,0,,,378,89,40,37,6,34,0,3,1,0,61,0.0872199684381485,-6.579237937927246,6.6664581298828125,1.7552002668380735,0.2264557033777237,1.0523196458816528,0.9195283651351928,0.8741384744644165,1.5287599563598633,10,0.0669205263257026,0.0159630050988902,0,0,1990,0.81,,,,,,,,,,
Rick Aguilera,MIN,5,3,32,56,0,65.1,8.403064822516658,2.6173480594724015,0.6887758051243161,0.2793296089385474,0.71830986,,,,2.7551032204972645,,2.991972564985666,,1.3124321699142456,Rick Aguilera,1000086,110090,3.21052632,0.22761194,0.07089552,0.15671642,0.2244897959183673,1.132653546204431,67.35636692748372,76.52917884216002,,-0.2368693444884013,,0,0,0,,,268,55,27,20,5,19,6,4,3,0,61,2.884674072265625,-7.422274112701416,10.306947708129885,10.807000160217283,1.1522419452667236,2.023037910461426,1.979405164718628,1.9689178466796875,0.3381999731063843,2,1.2145828008651731,0.2113292185530255,27,5,1990,1.25,,,,,,,,,,
Mike Moore,OAK,13,15,0,33,33,199.1,3.295986958480065,3.792642527566102,0.6321070879276838,0.2761627906976744,0.65585851,,,,4.65050214689653,,4.298265724210626,,1.3097506761550903,Mike Moore,1009122,119313,0.86904762,0.08468677,0.0974478,-0.01276102,0.2632258064516129,1.444816200977563,124.65694118562598,112.83556107308152,,0.3522364226859036,,17,3,0,,,862,204,113,103,14,84,2,3,13,0,73,-2.6814260482788086,-16.816373825073242,14.134947776794434,-25.71700096130371,-2.9599101543426514,1.0270205736160278,0.8674818277359009,0.8777757883071899,1.1754599809646606,30,-1.84285306930542,-0.7680255412737225,0,0,1990,-1.54,,,,,,,,,,
Alejandro Pena,NYM,3,3,5,52,0,76.0,9.0,2.6052631578947367,0.4736842105263157,0.3087557603686636,0.71266968,,,,3.1973684210526314,,2.4004042801104095,,1.3079982995986938,Alejandro Pena,1010140,120369,3.45454545,0.2375,0.06875,0.16875,0.239057239057239,1.2236842105263157,87.28028529153653,64.47767036202848,,0.7969641409422219,,0,0,0,,,320,71,31,27,4,22,5,1,0,0,76,0.5722439885139465,-3.6801681518554688,4.252411842346191,3.7930002212524414,0.4478629827499389,0.7470860481262207,0.7924860119819641,0.8531730771064758,1.1614999771118164,20,0.5685948729515076,0.1973731034940458,9,8,1990,0.78,,,,,,,,,,
Don Robinson,SFG,10,7,0,26,25,157.2,4.45243114600696,2.3403804741831458,1.027484110616991,0.2930056710775047,0.69020021,,,,4.566596047186626,,4.102167896988726,,1.2706233095377684,Don Robinson,1011061,121308,1.90243902,0.11694153,0.06146927,0.05547226,0.2768,1.357293825136025,124.43690740216373,109.47455437588796,,0.4644281501979002,,16,4,0,,,667,173,84,80,18,41,8,1,2,0,78,0.076774001121521,-12.425543636083605,12.50231783092022,-8.666000127792358,-1.039924293756485,1.0489589965343475,1.020180378745242,0.9026846381334158,1.191254591399973,22,-0.2192446067929268,0.292435266652058,0,1,1990,0.13,,,,,,,,,,
Shawn Boskie,CHC,5,6,0,15,15,97.2,4.515358126624924,2.856655141334136,0.737201326795906,0.2791411042944785,0.74290484,,,,3.68600663397953,,3.852667563246715,,1.2684471607208252,Shawn Boskie,1001213,111250,1.58064516,0.11807229,0.0746988,0.04337349,0.2584856396866841,1.3310579511592746,92.04250044291472,99.02285452169006,,-0.1666609292671848,,9,1,0,,,415,99,42,40,8,31,3,1,3,2,49,0.544529914855957,-7.462577819824219,8.007111549377441,8.905099868774414,0.9304527640342712,1.0567585229873655,0.9657078981399536,0.8769199848175049,1.6937285661697388,14,0.5752755403518677,-0.0599923389288806,0,0,1990,2.37,,,,,,,,,,
