fWAR,bWAR,ERA,xERA,FIP,xFIP,vFA,K%,BB%,K-BB%,IP,G,GS,Barrel%,HardHit%,EV,GB%,HR/9,BABIP,LOB%,HR/FB,SV,AVG,WHIP,ERA-,FIP-,SIERA,Chase%,Whiff%,WPA,Clutch,SO,BB,HBP,HR,QS,CG,ShO
,4.0,3.4760478247899993,,3.7475760596373577,3.914419151051733,,0.17328918,0.04746137,0.12582782,222.2,33,33,,,,0.412191582,1.0508981795876742,0.2791728212703102,0.74799644,0.095588235,0,0.25,1.158682608263333,81.55189427493326,88.23325401813119,3.928898231116055,,,2.7720043659210205,1.2046984091783923,157,43,3,26,21,2,0
,3.63,3.868421311523793,,4.050732989441843,3.905161473754561,,0.15482503,0.06362672,0.0911983,228.0,33,33,,,,0.4875,1.0263158581593737,0.2810734463276836,0.73926868,0.117647058,0,0.2556818181818182,1.2500000836556473,86.5256855754294,89.05725134503774,4.095613095463961,,,1.485535979270935,0.2863898528291604,146,60,3,26,20,2,0
,2.46,3.787128426797061,,3.792308335462728,4.274614102246375,,0.17064439,0.06205251,0.10859189,202.0,32,32,,,,0.356466876,0.9801979457592392,0.2769726247987117,0.72026022,0.07913669,0,0.2468193384223918,1.2178216901857213,88.65023955518348,90.00897297330258,4.225475758823852,,,1.985253930091858,0.2713852889369215,143,52,0,22,16,1,0
,5.51,2.414117560384681,,3.034148812628618,2.8912176386715753,,0.19529837,0.03254973,0.16274864,141.2,19,19,,,,0.608695652,0.6988235043218813,0.2616136919315403,0.81504702,0.123595505,0,0.2234848484848484,0.9599999655330896,54.06775466142892,68.98063283184709,2.7617166564962576,,,4.697959899902344,0.7149175679865971,108,18,7,11,14,5,2
,3.48,3.331914785444713,,3.3136481778208307,3.4009312980973427,,0.22274882,0.03949447,0.18325435,156.2,22,22,,,,0.366666666,1.0914893262663714,0.2757847533632287,0.72331461,0.1005291,0,0.2343234323432343,1.065957412201661,78.11298533817038,76.5762022979601,3.311960884548665,,,1.9360120296478271,0.3089262873269633,141,25,2,19,16,3,0
,3.32,3.7327188940092166,,3.8909989080121448,3.6744892429371583,,0.18171683,0.05908584,0.12263099,217.0,34,34,,,,0.463855421,1.0783410138248848,0.2865947611710323,0.72463768,0.123222748,0,0.2529832935560859,1.2211981566820276,87.96242842366178,90.14190854695303,3.7888600680673257,,,-0.2102162092924118,-1.5072637017276973,163,53,6,26,22,3,0
,4.12,3.534700145314688,,3.673027980070539,4.324964201711169,,0.11653718,0.06770255,0.04883463,211.1,33,33,,,,0.469503546,0.5110409848647741,0.2986111111111111,0.74033552,0.056338028,0,0.2712066905615293,1.3627759596393978,85.55332832497832,87.74852953539117,4.6450606173845435,,,1.1014060974121094,-0.563572213226768,105,61,3,12,23,2,1
,3.66,3.839820271570348,,3.976617970573133,3.8151714376653825,,0.21987315,0.09830867,0.12156448,222.2,35,35,,,,0.438625204,1.0508981795876742,0.2764227642276423,0.74045207,0.118721461,0,0.2308598351001178,1.2979041619693923,90.02025678587418,92.02822755096028,3.912754767295443,,,1.0834662914276123,0.7631610020517456,208,93,4,26,23,2,1
,2.5,3.7092650853052818,,3.944951271327202,4.194711140786681,,0.12785388,0.03310502,0.09474886,208.2,33,33,,,,0.437587657,1.0351437447363578,0.3021276595744681,0.71728188,0.09090909,0,0.2818073721759809,1.2747603523142184,83.0745104950618,89.47040053344845,4.291779912397226,,,-0.1037581115961074,-0.9971214262030772,112,29,6,24,21,2,1
,3.37,3.774193548387097,,3.761966649947628,4.413714546253605,,0.21271394,0.12224939,0.09046455,186.0,32,32,,,,0.423149905,0.5806451612903226,0.3065134099616858,0.7239819,0.059701492,0,0.2429378531073446,1.4623655913978495,87.9341771365439,86.90777433335825,4.3485129408122205,,,1.2694261074066162,0.774183455846031,174,100,10,12,18,0,0
,3.73,2.531250150874266,,2.8950311586260793,3.3262680283739785,,0.23540856,0.08365759,0.15175097,128.0,22,19,,,,0.42228739,0.4921875293366629,0.252199413489736,0.74882995,0.066037735,0,0.1982942430703624,1.0625000633299388,59.64952533018441,67.25762384166336,3.5078996267296243,,,2.6241159439086914,0.1221097416587215,121,43,2,7,10,2,1
,-0.33,4.532490849891116,,3.7240022658208,3.6070419463359538,,0.15277778,0.05050505,0.10227273,184.2,31,31,,,,0.496688741,0.8772562935273127,0.3163097199341021,0.6542461,0.116883116,0,0.2815013404825737,1.3537905764310385,104.56107513196756,84.9944937153154,3.8350795160751745,,,0.3697582483291626,0.8925132693277745,121,40,6,18,13,1,0
,1.81,4.02711853991703,,3.6912175893961656,3.6906179046054817,,0.19562576,0.07533414,0.12029162,196.2,31,31,,,,0.494863013,0.8694915029366315,0.289198606271777,0.71240106,0.106145251,0,0.2453580901856764,1.2559321709084676,94.2680001963124,87.6297924986141,3.7609329097178943,,,0.9065898656845092,-0.9893134284797565,161,62,7,19,17,1,0
,3.98,3.781759145619104,,3.88973804969449,4.146243620716863,,0.19657143,0.08685714,0.10971429,204.2,33,33,,,,0.408333333,0.9234528146279208,0.2871452420701169,0.74614761,0.08898305,0,0.2436868686868686,1.3143323128831257,89.33805848851257,93.86440901060747,4.091940843753489,,,1.2662142515182495,-0.200981065585682,172,76,7,21,15,0,0
,4.62,3.502262443438914,,4.241750623090235,4.104049968962217,,0.12763596,0.05216426,0.0754717,221.0,32,32,,,,0.462290502,1.0588235294117647,0.263456090651558,0.75348432,0.116591928,0,0.2502951593860685,1.171945701357466,78.3357433382206,93.2237948392125,4.349057092721395,,,3.004051923751831,0.5001637565489676,115,47,7,26,22,3,3
