Name,PlayerId,MLBAMID,Team,fWAR,fWAR,bWAR,ERA,xERA,FIP,xFIP,vFA,vFA,K%,BB%,K-BB%,IP,G,GS,Barrel%,HardHit%,EV,GB%,HR/9,BABIP,LOB%,HR/FB,SV,AVG,WHIP,ERA-,FIP-,SIERA,Chase%,Whiff%,WPA,Clutch,SO,BB,HBP,HR,QS,CG,ShO
Don Schwall,1011657,121906,BOS,2.522351026535034,,3.34,3.223879954575505,,4.085080790780022,,,,0.11577608,0.13994911,-0.02417303,178.2,25,25,,,,,0.4029849943219381,0.2784588441330998,0.7615894,,0,0.2492537313432835,1.5503728253774565,76.76885816037645,95.59494362900573,,,,,,91,110,6,8,,10,2
Jack Fisher,1004090,114173,BAL,2.5139100551605225,,0.31,3.903061224489796,,3.706540123297244,,,,0.13833529,0.08792497,0.05041032,196.0,36,25,,,,,0.7806122448979592,0.2942097026604069,0.69177556,,1,0.2648578811369509,1.4285714285714286,102.1668294976829,95.17448210404568,,,,,,118,75,4,17,,10,1
Ernie Broglio,1001463,111501,STL,2.4964513778686523,,1.26,4.1221365643288435,,3.999459290569813,,,,0.14829396,0.0984252,0.04986877,174.2,29,26,,,,,0.9790074340281002,0.2653429602888086,0.6731662,,0,0.2419825072886297,1.3797707111156263,95.65393694265268,94.95080415768392,,,,,,113,75,1,19,,7,2
Ray Herbert,1005684,115802,- - -,2.3528887033462524,,1.06,4.554215402281069,,4.204910633723018,,,,0.0868666,0.06825233,0.01861427,221.1,34,32,,,,,1.0165659380091672,0.2784810126582278,0.67625899,,0,0.2725250278086763,1.4051200298704487,112.51023120396432,102.42654887127124,,,,,,84,66,2,25,,5,0
Johnny Podres,1010406,120637,LAD,2.345373153686523,,4.27,3.74452481759416,,4.041040060779238,,,,0.16062176,0.06606218,0.09455959,182.2,32,29,,,,,1.3302917115137147,0.2915194346289753,0.79349904,,0,0.2677824267782426,1.3302917115137147,88.67411428307814,97.88345673251564,,,,,,124,51,4,27,,6,1
Juan Marichal,1008106,118283,SFG,2.2823503017425537,,1.76,3.891891891891892,,3.7306438188295106,,,,0.16124837,0.06241873,0.09882965,185.0,29,27,,,,,1.1675675675675676,0.2784588441330998,0.72718154,,0,0.2545201668984701,1.2486486486486486,99.94554402291168,98.176885223141,,,,,,124,48,2,24,,9,3
Ron Kline,1007004,117155,- - -,2.2761072516441345,,1.21,4.136645864720176,,4.058359076589454,,,,0.13837375,0.08701854,0.05135521,161.0,36,20,,,,,1.062111776076802,0.2925430210325048,0.70877531,,1,0.2691705790297339,1.4472049346543558,96.39477888098808,93.07866556806356,,,,,,97,61,1,19,,3,1
Bob Shaw,1011819,122080,- - -,2.2221391797065735,,1.41,4.141354713817763,,4.324263564209238,,,,0.09257375,0.07934893,0.01322482,221.2,40,34,,,,,0.9744364032512384,0.289002557544757,0.69113757,,0,0.2787068004459309,1.479699723455584,100.6308874136643,103.67882763868316,,,,,,91,78,8,24,,9,0
Dick Ellsworth,1003754,113824,CHC,2.187746524810791,,3.69,3.857142121451382,,4.020315357617022,,,,0.11389237,0.06007509,0.05381727,186.2,37,31,,,,,1.1089283599172723,0.2996845425867508,0.75064711,,0,0.28475935828877,1.398214019026126,93.48587682136488,99.67965185530772,,,,,,91,48,3,23,,7,1
Stu Miller,1008935,119121,SFG,2.1561193466186523,,3.14,2.6557377049180326,,2.475526406335049,,,,0.18275154,0.07597536,0.10677618,122.0,63,0,,,,,0.2950819672131147,0.2556179775280899,0.72213501,,17,0.2115812917594654,1.0819672131147542,68.20054540907701,65.94490240118014,,,,,,89,37,1,4,,0,0
