Name,PlayerId,MLBAMID,Team,fWAR,fWAR,bWAR,ERA,xERA,FIP,xFIP,vFA,vFA,K%,BB%,K-BB%,IP,G,GS,Barrel%,HardHit%,EV,GB%,K/9,BB/9,K/BB,HR/9,BABIP,LOB%,HR/FB,SV,AVG,WHIP,ERA-,FIP-,SIERA,Chase%,Whiff%,WPA,Clutch,SO,BB,HBP,HR,QS,CG,ShO,ER
Steve Sparks,499,122562,MIL,2.444035187363625,,3.23,4.633663716356917,,4.598346565363638,,,,0.10971429,0.09828571,0.01142857,202.0,33,27,,,,,4.277228045867924,3.8316834577566814,1.11627907,0.7574257997891114,0.2876304023845007,0.68542569,,0,0.2678571428571428,1.4653466453436403,95.72750280050532,98.49550870159268,,,,1.1388159841299057,0.3057888901817056,96,86,5,17,11,3,0,104
Chris Hammond,92,115391,FLA,2.420972326770425,,2.48,3.801242554069608,,3.954228695694177,,,,0.18448023,0.06881406,0.11566618,161.0,25,24,,,,,7.043478850187804,2.627329412371641,2.68085106,0.950310638517402,0.2892561983471074,0.73995772,,0,0.2503987240829346,1.267080851356536,91.37189314278524,93.99129681581188,,,,0.1815462810918688,0.1245655871551421,126,47,9,17,12,3,2,68
Gil Heredia,1005686,115804,MON,2.419209271669388,,1.32,4.310924093363523,,3.2797675244005617,,,,0.1453831,0.04125737,0.10412574,119.0,40,18,,,,,5.596638296647382,1.5882351922918243,3.52380952,0.5294117307639414,0.3233830845771144,0.67232376,,1,0.2836438923395445,1.3277310073127422,101.97254938769558,78.14288490071996,,,,-0.1395880803465843,-1.1057454114763878,74,21,5,7,6,0,0,57
Zane Smith,1012218,122473,BOS,2.419089660048485,,-0.69,5.611445815370432,,3.726790926964852,,,,0.09710744,0.04752066,0.04958678,110.2,24,21,,,,,3.822289178585657,1.8704819384568108,2.04347826,0.5692771117042468,0.3374384236453202,0.56890013,,0,0.3130434782608696,1.5090361532477652,115.2621290251785,80.51176210196309,,,,-0.8150579622015357,-0.8847340818975099,47,23,1,7,8,0,0,69
Troy Percival,29,120401,CAL,2.414278745651245,,3.15,1.9459469490808792,,2.7114048535671267,,,,0.33098592,0.0915493,0.23943662,74.0,62,0,,,,,11.432438325850166,3.1621637922564285,3.61538462,0.7297301059053297,0.197452229299363,0.80935252,,3,0.1439688715953307,0.8513517902228847,40.69783415165311,56.858280699736554,,,,3.71040415763855,0.1412211602899771,94,26,1,6,0,0,0,16
Roger Clemens,815,112388,BOS,2.396885395050049,,1.9,4.178571428571429,,4.196154090336391,,,,0.21187801,0.09630819,0.11556982,140.0,23,23,,,,,8.485714285714286,3.857142857142857,2.2,0.9642857142857144,0.3134328358208955,0.74742268,,0,0.2568306010928962,1.4357142857142855,85.83011490936585,90.55182215961992,,,,0.9869680404663086,0.8733938419086851,132,60,14,15,13,0,0,65
Steve Ontiveros,1009826,120036,OAK,2.3647215366363525,,1.16,4.372749956577181,,4.0904433221562835,,,,0.13799283,0.06810036,0.06989247,129.2,22,22,,,,,5.3444721691498875,2.637531719840204,2.02631579,0.8329047536337486,0.3091334894613583,0.65602837,,0,0.2790697674418604,1.4035987514939097,95.56988338571168,88.36833106556078,,,,0.3613260090351105,0.3483567768147341,77,38,4,12,10,2,1,63
Mike Hampton,430,115399,HOU,2.2686760425567627,,1.55,3.345132630436564,,3.7537394033974687,,,,0.17940718,0.07644306,0.10296412,150.2,24,24,,,,,6.869468794646515,2.9269910516319935,2.34693878,0.7765486463513451,0.2782608695652174,0.68828214,,0,0.2397959183673469,1.2610619043312443,84.75403018514274,93.78078294089173,,,,0.4578860402107239,0.1805469265040895,115,49,4,13,13,0,0,56
Ramon Martinez,1008193,118378,LAD,2.249664068222046,,2.34,3.663973971218721,,4.213151496962168,,,,0.16065192,0.09429569,0.06635623,206.1,30,30,,,,,6.019385809859327,3.533117757960909,1.7037037,0.8287560172994726,0.2548701298701298,0.70943076,,0,0.2276843467011643,1.2455572891576867,94.40241947292104,102.9304478662508,,,,1.3270478248596191,0.305012459474173,138,81,5,19,21,4,2,84
Kevin Tapani,1012824,123090,- - -,2.234104372560978,,1.19,4.956293970723931,,4.5403599612129595,,,,0.15707434,0.05755396,0.09952038,190.2,33,31,,,,,6.1835667634746185,2.265734386616654,2.72916667,1.3688811919142283,0.3188405797101449,0.68504595,,0,0.2906530089628681,1.4423077692582869,110.45159627688857,101.13647299584112,,,,-0.563544288277626,0.6145522955298287,131,48,5,29,11,3,1,105
