Name,PlayerId,MLBAMID,Pos,Team,fWAR,fWAR,bWAR,Off,Def,BsR,Barrel%,HardHit%,EV,maxEV,wRC+,wOBA,xwOBA,wOBA-xwOBA,xBA,xSLG,OPS,SLG,OBP,AVG,ISO,BABIP,G,PA,AB,R,RBI,HR,XBH,TB,H,1B,2B,3B,SB,BB,IBB,SO,K%,BB%,BB/K,Chase%,Whiff%,WPA,Clutch,FRV,OAA,DRS,FRM,TZ,Swing%,Z-Swing%,O-Contact%,Z-Contact%,Zone%,BatSpd,Squared-Up%,Inn
Dwight Evans,1003865,113936,RF,BOS,4.031400636369947,,4.13,24.851237688257687,-10.650873184204102,0.3220511290710419,,,,,127.51601033785072,0.370695792773741,,,,,0.832005252,0.453808752,0.3781965,0.262560777,0.191247975,0.271428571,159,744,617,110,78,29,59,280,162,103,29,1,7,114,4,105,0.141129032,0.153225806,1.085714285,,,3.4814255237579346,0.017162280301604,,,,,-3.0,,,,,,,,1340.1
Vance Law,1007409,117551,2B,MON,3.8565102369728352,,3.83,15.85463040872576,0.7563920021057129,-1.0210457020439208,,,,,123.90855513364689,0.3496099195122524,,,,,0.773302906,0.404624277,0.368678629,0.265895953,0.138728324,0.30548926,147,621,519,75,52,10,46,210,138,92,30,6,6,86,0,96,0.154589371,0.138486312,0.895833333,,,1.8608901500701904,-0.5754803438996949,,,,,-2.0,,,,,,,,1249.3999999999999
Brett Butler,1001772,111812,CF,CLE,3.837363851186564,,4.66,17.98354678057472,-3.108024686574936,1.1921559219481423,,,,,121.0420328841393,0.3605106392102997,,,,,0.808371777,0.431472081,0.376899696,0.311336717,0.120135364,0.327239488,152,666,591,106,50,5,47,255,184,137,28,14,47,63,2,42,0.063063063,0.094594594,1.5,,,0.5726878643035889,-1.205106777371303,,,,,-3.0,,,,,,,,1266.1
Chet Lemon,1007518,117669,CF,DET,3.732123055873432,,3.99,8.381486156987073,9.0,-0.9753946609562264,,,,,113.58121130333232,0.3422937877736725,,,,,0.772984609,0.439071566,0.333913043,0.264990328,0.174081238,0.290953545,145,575,517,69,68,18,50,227,137,87,28,4,0,45,3,93,0.16173913,0.078260869,0.483870967,,,0.4136159718036651,0.2815025000881269,,,,,9.0,,,,,,,,1272.1
Lloyd Moseby,1009238,119432,CF,TOR,3.4957821404781972,,3.14,8.77267159833943,3.0,1.2145839245058596,,,,,109.41482768864788,0.3429331492660637,,,,,0.771661342,0.426369863,0.345291479,0.258561643,0.16780822,0.277083333,152,670,584,92,70,18,55,249,151,96,30,7,37,76,4,91,0.135820895,0.113432835,0.835164835,,,1.487635612487793,0.6081534608938126,,,,,3.0,,,,,,,,1326.1
Paul Molitor,1009040,119236,3B,MIL,3.49098618504126,,3.66,9.26414509299999,3.3689985871315,1.1853013565996662,,,,,110.50242123313004,0.3396674731008957,,,,,0.763891622,0.407986111,0.355905511,0.296875,0.111111111,0.328571428,140,642,576,93,48,10,41,235,171,130,28,3,21,54,6,80,0.124610591,0.084112149,0.675,,,1.0247775316238403,0.4680473589841945,,,,,3.0,,,,,,,,1168.0
Ron Oester,1009739,119946,2B,CIN,3.450562480418676,,3.74,-3.842741626461706,18.531309604644775,0.7935933984117582,,,,,93.01533287141044,0.3132917565582073,,,,,0.71516862,0.36121673,0.35395189,0.294676806,0.066539924,0.331182795,152,584,526,59,34,1,30,190,155,125,26,3,5,51,17,65,0.111301369,0.087328767,0.784615384,,,-0.287708580493927,0.3125234346439795,,,,,14.0,,,,,,,,1321.1
Andy Van Slyke,1013363,123653,RF,STL,3.430602872894399,,3.45,13.595417044880149,4.186899185180664,4.2736478032311425,,,,,117.265870851702,0.3400353225123169,,,,,0.774122282,0.438679245,0.335443037,0.259433962,0.179245283,0.27094972,146,475,424,61,55,13,44,186,110,66,25,6,34,47,6,54,0.11368421,0.098947368,0.87037037,,,-0.0546176359057426,-1.446094002615247,,,,,9.0,,,,,,,,1013.4000000000001
Carlton Fisk,1004101,114182,C,CHW,3.423667399007276,,3.28,8.259948821790438,4.302674293518066,-0.3395494358846918,,,,,111.57595091321436,0.3484533618975787,,,,,0.808417814,0.488029465,0.320388349,0.23756906,0.250460405,0.213457076,153,620,543,85,107,37,61,265,129,68,23,1,17,52,12,81,0.130645161,0.083870967,0.641975308,,,3.1655476093292236,0.6442154995658647,,,,,0.0,,,,,,,,1068.1
Bobby Grich,1005033,115130,2B,CAL,3.3911988595674396,,2.95,2.316877976133422,11.991997122764587,-1.6002752338536084,,,,,105.7254510130954,0.3322014574493681,,,,,0.726847301,0.371607515,0.355239786,0.242171189,0.129436326,0.264781491,144,571,479,74,53,13,33,178,116,83,17,3,3,81,3,77,0.134851138,0.141856392,1.051948051,,,0.0221699904650449,0.0746855375603756,,,,,10.0,,,,,,,,1168.3
