Name,PlayerId,MLBAMID,Team,fWAR,fWAR,bWAR,ERA,xERA,FIP,xFIP,vFA,vFA,K%,BB%,K-BB%,IP,G,GS,Barrel%,HardHit%,EV,GB%,HR/9,BABIP,LOB%,HR/FB,SV,AVG,WHIP,ERA-,FIP-,SIERA,Chase%,Whiff%,WPA,Clutch,SO,BB,HBP,HR,QS,CG,ShO,ER
Larry Benton,1000855,110883.0,- - -,2.1656396985054016,,-0.2799999999999999,5.50401189744479,,4.672422747245938,,,,0.0664557,0.06223629,0.00421941,207.2,43,26,,,,,0.6500801453674949,0.3366214549938348,0.58895706,,2,0.3239595050618672,1.670946744018672,115.24722774352566,99.12455521963156,,,,,,63,59,0,15.0,,10,0,127
Tom Zachary,1014405,124729.0,- - -,2.096865341067314,,1.6099999999999999,4.767857196987892,,4.547356081684701,,,,0.07671958,0.07804233,-0.00132275,168.0,27,25,,,,,0.4821428626167531,0.319047619047619,0.63572543,,0,0.3012912482065997,1.6011904943692172,100.2574279685474,96.49718321352694,,,,,,58,59,0,9.0,,10,1,89
Ray Kolp,1007088,117239.0,CIN,2.067004680633545,,3.22,4.223763269597207,,4.390802748146991,,,,0.05657709,0.04809052,0.00848656,168.1,37,19,,,,,0.5346535784300261,0.2728731942215088,0.64,,3,0.2674591381872214,1.2712873976002843,88.83262344359349,93.68334478455304,,,,,,40,34,0,10.0,,5,2,79
Rip Collins,1002463,112507.0,SLB,2.060323715209961,,3.3,4.351455408183337,,4.635404837658098,,,,0.10162602,0.08536585,0.01626016,171.2,35,20,,,,,0.5766989095182736,0.2688356164383562,0.66183137,,2,0.2507462686567164,1.3456307888759718,90.82236168939086,95.95628069472588,,,,,,75,63,5,11.0,,6,1,83
Herman Bell,1000810,110825.0,STL,2.0413904190063477,,1.5,3.901735308526857,,3.860664745168847,,,,0.08203125,0.04492188,0.03710938,115.1,39,9,,,,,0.3121388246821485,0.3151927437641723,0.63423645,,8,0.2936344969199179,1.439306802701018,78.02484887490021,78.47537814175514,,,,,,42,23,2,4.0,,2,0,50
Bill Sherdel,1011869,122128.0,- - -,2.021306574344635,,2.45,4.71272818795214,,4.704196132716706,,,,0.06857855,0.05361596,0.01496259,183.1,34,21,,,,,0.736363779367522,0.2944606413994169,0.6446281,,1,0.287037037037037,1.4181820935967089,96.62575750475638,97.85644433688245,,,,,,55,43,3,15.0,,8,0,96
George Blaeholder,1001025,111053.0,SLB,1.9106541872024536,,2.38,4.609756955357427,,4.867623457653787,,,,0.08313539,0.05463183,0.02850356,191.1,37,23,,,,,0.9407667255831484,0.3053977272727273,0.64313725,,4,0.2959697732997481,1.4686413882714704,96.21355942480976,100.80308286040972,,,,,,70,46,2,20.0,,10,1,98
Ted Trent,1016602,,SLS,1.9034827947616575,,0.0,4.414170222027918,,,,,,,,,122.1,23,13,,,,,,,,,0,0.2872020100745799,1.58583152421003,93.12403807844908,,,,,,,55,55,0,,,7,2,60
Dolf Luque,1007843,118012.0,BRO,1.869340181350708,,2.91,4.296482412060302,,4.914967938523796,,,,0.07302709,0.06831567,0.00471143,199.0,31,24,,,,,0.8140703517587939,0.2855133614627285,0.67769898,,2,0.2793931731984829,1.4020100502512562,88.26834812397861,102.28133495359003,,,,,,62,58,0,18.0,,16,2,95
Hollis Thurston,1013053,123330.0,BRO,1.8535735607147217,,2.22,3.39622641509434,,3.968964335603535,,,,0.05949657,0.0389016,0.02059497,106.0,24,11,,,,,0.3396226415094339,0.2717948717948718,0.66721582,,1,0.2619047619047619,1.19811320754717,69.77319275738527,82.8463257202899,,,,,,26,17,0,4.0,,5,2,40
Dick Coffman,1002391,112445.0,SLB,1.8279061317443848,,1.25,5.142857142857143,,4.9980363417644895,,,,0.06053812,0.07735426,-0.01681614,196.0,38,30,,,,,0.6428571428571429,0.3146666666666666,0.62417871,,1,0.3056234718826406,1.6275510204081634,107.34027761540126,103.52502414639514,,,,,,54,69,5,14.0,,12,1,112
Ted Shaw,1016374,,DS,1.8181573152542112,,0.0,4.160122188365524,,,,,,,,,110.1,18,13,,,,,,,,,0,0.2816641923624754,1.3957708431553175,87.76448519068954,,,,,,,72,32,3,,,10,2,51
Mel Harder,1005339,115451.0,CLE,1.8164392709732056,,2.0,4.209126330006075,,4.885170946922471,,,,0.0554855,0.08575032,-0.03026482,175.1,36,19,,,,,0.461977280122618,0.2934131736526946,0.63918306,,2,0.2843273231622746,1.5570345367095644,86.2885960565464,99.3692608041629,,,,,,44,68,4,9.0,,7,0,82
