Name,PlayerId,MLBAMID,Pos,Team,fWAR,fWAR,bWAR,Off,Def,BsR,Barrel%,HardHit%,EV,maxEV,wRC+,wOBA,xwOBA,wOBA-xwOBA,xBA,xSLG,OPS,SLG,OBP,AVG,ISO,BABIP,G,PA,AB,R,RBI,HR,XBH,TB,H,1B,2B,3B,SB,BB,IBB,SO,K%,BB%,Chase%,Whiff%,WPA,Clutch,FRV,OAA,DRS,FRM,TZ,Swing%,Z-Swing%,O-Contact%,Z-Contact%,Zone%,BatSpd,Squared-Up%
Ozzie Virgil Jr.,1013439,123735,C,PHI,3.19152628288498,,2.59,7.722266505339061,5.572015762329102,-0.2362043069151695,,,,,113.81475702898646,0.3395247776282163,,,,,0.764934596,0.434210526,0.33072407,0.260964912,0.173245614,0.286931818,141,512,456,61,68,18,41,198,119,78,21,2,1,45,5,91,0.177734375,0.087890625,,,0.7618504762649536,-0.1916901109433059,,,,,-2.0,,,,,,,
George Bell,1000808,110823,RF,TOR,3.178867069581962,,3.14,18.02852371704636,-8.305554389953613,1.3665224562282674,,,,,122.13712662471796,0.3635714485052046,,,,,0.824402876,0.498349834,0.326053042,0.292079207,0.206270627,0.303822937,159,643,606,85,87,26,69,302,177,108,39,4,11,24,2,86,0.133748055,0.037325038,,,1.7742682695388794,0.0971246060325248,,,,,-1.0,,,,,,,
Phil Garner,1004541,114625,3B,HOU,3.1388442439858757,,3.31,7.728942375505426,8.259717345237732,-0.2277100056526251,,,,,116.44544058937012,0.3364265162330429,,,,,0.742994651,0.387700534,0.355294117,0.278074866,0.109625668,0.321543408,128,430,374,60,45,4,27,145,104,77,17,6,3,43,2,63,0.146511627,0.1,,,2.2129716873168945,1.1908708692134096,,,,,7.0,,,,,,,
Marty Barrett,1000599,110616,2B,BOS,3.093394772005398,,2.81,1.9789025119037316,11.07294225692749,-0.2318322461796924,,,,,103.5905084609522,0.3357268578731097,,,,,0.741395441,0.383157894,0.358237547,0.303157894,0.08,0.31263858,139,526,475,56,45,3,29,182,144,115,23,3,5,42,2,25,0.047528517,0.079847908,,,0.1524417549371719,0.65767108294762,,,,,7.0,,,,,,,
Pete O'Brien,1009700,119903,1B,TEX,3.084716959175015,,3.08,10.802131281192018,0.5609054565429688,-1.412680825800635,,,,,117.96038812882853,0.3510814753028896,,,,,0.796352785,0.448076923,0.348275862,0.286538461,0.161538462,0.28540305,142,581,520,57,80,18,46,233,149,103,26,2,3,53,8,50,0.086058519,0.09122203,,,2.355811834335327,0.3438900672833354,,,,,9.0,,,,,,,
Juan Samuel,1011400,121651,2B,PHI,3.0764358172084307,,2.96,15.275708436670904,-11.195473670959473,8.466494770895224,,,,,108.2113215358524,0.3313179638920998,,,,,0.748873967,0.442225392,0.306648575,0.272467902,0.16975749,0.33911368,160,737,701,105,69,15,70,310,191,121,36,19,72,28,2,168,0.227951153,0.037991858,,,0.4054353535175323,-0.9776804765813646,,,,,-16.0,,,,,,,
Darryl Strawberry,1012606,122864,RF,NYM,3.0557532407473538,,2.79,19.6441066435383,-10.72875452041626,2.2167673304793425,,,,,125.72871995966511,0.3529022189537413,,,,,0.810195013,0.46743295,0.342762063,0.250957854,0.216475096,0.284552845,147,602,522,75,97,26,57,244,131,74,27,4,27,75,15,131,0.217607973,0.124584717,,,1.7620116472244265,-1.1037741152192997,,,,,-5.0,,,,,,,
Andre Thornton,1013037,123313,1B,CLE,3.0402284954524355,,2.83,24.158412132029,-17.213991165161133,-0.8249368860269897,,,,,130.9319018572798,0.3732680062980427,,,,,0.849563473,0.483816013,0.36574746,0.270868824,0.212947189,0.260330578,155,690,587,91,99,33,59,284,159,100,26,0,6,91,11,79,0.114492753,0.131884057,,,2.3122830390930176,-0.0517227075128192,,,,,-1.0,,,,,,,
George Brett,1001400,111437,3B,KCR,2.997739136313279,,2.78,7.869239773470465,7.5413806438446045,-0.8205005621421151,,,,,117.59135963658332,0.3513220872443456,,,,,0.802487836,0.458885941,0.343601895,0.283819628,0.175066313,0.281437125,104,422,377,42,69,13,37,173,107,70,21,3,0,38,6,37,0.087677725,0.090047393,,,2.914198160171509,1.744520698613116,,,,,7.0,,,,,,,
Dave Collins,1002449,112503,LF,TOR,2.990329526516134,,3.07,18.940803465250617,-6.260632038116455,6.464488947036443,,,,,121.66338264669034,0.3628496060400833,,,,,0.810699588,0.444444444,0.366255144,0.308390022,0.136054422,0.334164588,128,492,441,59,44,2,41,196,136,95,24,15,60,33,0,41,0.083333333,0.06707317,,,2.773768186569214,0.6680977253667546,,,,,-1.0,,,,,,,
