fWAR,bWAR,Off,Def,BsR,Barrel%,HardHit%,EV,maxEV,wRC+,wOBA,xwOBA,wOBA-xwOBA,xBA,xSLG,OPS,SLG,OBP,AVG,ISO,BABIP,G,PA,AB,R,RBI,HR,XBH,TB,H,1B,2B,3B,SB,BB,IBB,SO,K%,BB%,Chase%,Whiff%,WPA,Clutch,FRV,OAA,DRS,FRM,TZ,Swing%,Z-Swing%,O-Contact%,Z-Contact%,Zone%,BatSpd,Squared-Up%
,2.62,16.967009685191883,-1.4753086268901825,3.0458199940621853,,,,,143.3408113107284,0.3764603635026372,,,,,0.76659305,0.370833333,0.395759717,0.2875,0.083333333,,75,285,240,39,31,1,14,89,69,55,9,4,27,35,,,,0.122807017,,,,,,,,,-1.0,,,,,,,
,2.3,18.518657806719148,-13.444444477558136,-0.4910476300865412,,,,,125.75293937262911,0.4018366570784666,,,,,0.860747663,0.5,0.360747663,0.313253012,0.186746988,,125,545,498,83,83,8,56,249,156,100,27,21,14,36,,,,0.066055045,,,,,,,,,-14.0,,,,,,,
,2.36,-6.281835385932183,11.024691581726074,-0.2597594801336527,,,,,92.08851825892512,0.332494605964702,,,,,0.674195123,0.325819672,0.348375451,0.260245901,0.065573771,,130,562,488,70,64,1,24,159,127,103,17,6,19,55,,,,0.097864768,,,,,,,,,3.0,,,,,,,
,2.58,10.108190586826744,-5.672839641571045,1.4603517726063728,,,,,112.87439625841672,0.3408886333034463,,,,,0.711303868,0.372262773,0.339041095,0.295620437,0.076642336,,135,596,548,73,58,0,34,204,162,128,26,8,27,34,,,,0.057046979,,,,,,,,,0.0,,,,,,,
,3.12,-3.0885771915537785,8.320987701416016,-2.083225617185235,,,,,98.44049245911432,0.3184940397950027,,,,,0.661230927,0.346743295,0.314487632,0.25670498,0.090038315,,140,572,522,55,65,1,33,181,134,101,20,12,7,39,,,,0.068181818,,,,,,,,,4.0,,,,,,,
,1.82,9.869489598535305,-7.7931623458862305,4.211751187220216,,,,,106.90455048491847,0.3644989540702418,,,,,0.748290686,0.367588932,0.380701754,0.302371541,0.065217391,,129,605,506,109,49,1,26,186,153,127,20,5,44,62,,,,0.102479338,,,,,,,,,-5.0,,,,,,,
,2.37,7.623474650733133,-2.0493826866149902,2.484930168837309,,,,,107.49786339876626,0.3632182228873312,,,,,0.761558579,0.413646055,0.347912524,0.300639658,0.113006397,,123,506,469,84,71,6,37,194,141,104,27,4,29,26,,,,0.051383399,,,,,,,,,-6.0,,,,,,,
,2.3,-4.903235038389207,12.0,-0.634624969214201,,,,,93.1635053311212,0.327763471719438,,,,,0.676101908,0.34866828,0.327433628,0.263922518,0.084745762,,117,461,413,54,40,1,30,144,109,79,26,3,11,30,,,,0.065075921,,,,,,,,,12.0,,,,,,,
,2.16,10.857793444442247,-7.319049119949341,2.6374418158084154,,,,,111.78504069072277,0.3712119339477448,,,,,0.791062801,0.461697722,0.329365079,0.300207039,0.161490683,,119,515,483,82,90,9,51,223,145,94,33,9,27,14,,,,0.027184466,,,,,,,,,-5.0,,,,,,,
,1.9,-4.900474734335168,6.074073791503906,0.4363295119255781,,,,,93.2063807982404,0.3345789308097024,,,,,0.689926578,0.351923076,0.338003502,0.273076923,0.078846153,,132,580,520,69,55,3,28,183,142,114,18,7,22,44,,,,0.075862068,,,,,,,,,2.0,,,,,,,
,1.72,14.973817909098576,-11.00617265701294,-0.3240041807293892,,,,,123.09769632035577,0.3895158767700195,,,,,0.80466768,0.397260273,0.407407407,0.342465753,0.05479452,,108,489,438,77,34,0,18,174,150,132,12,6,20,42,,,,0.08588957,,,,,,,,,-6.0,,,,,,,
,2.3,-5.67970399266251,13.716049194335938,-0.4262467939406633,,,,,88.4620307091462,0.2973414366015323,,,,,0.611821152,0.312328767,0.299492385,0.243835616,0.068493151,,99,404,365,55,47,1,17,114,89,72,10,6,10,24,,,,0.05940594,,,,,,,,,8.0,,,,,,,
,1.74,3.789288223747672,-0.552358865737915,0.2530858535319567,,,,,105.21131476413905,0.3502273683488492,,,,,0.734850492,0.395973154,0.338877338,0.288590604,0.10738255,,110,501,447,75,56,3,32,177,129,97,19,10,17,34,,,,0.067864271,,,,,,,,,2.0,,,,,,,
,1.8399999999999999,12.667139254393264,-3.851851910352707,-0.130157807841897,,,,,130.28388425493455,0.4094812295061216,,,,,0.85917833,0.45724907,0.40192926,0.308550185,0.148698885,,68,312,269,59,40,3,28,123,83,55,19,6,11,38,,,,0.121794871,,,,,,,,,-2.0,,,,,,,
,1.77,5.1327969988775255,-5.9343873262405396,0.1083962433040142,,,,,108.94404672717718,0.3550979221016435,,,,,0.744114352,0.398854961,0.345259391,0.301526717,0.097328244,,134,572,524,65,78,5,31,209,158,127,16,10,20,30,,,,0.052447552,,,,,,,,,-1.0,,,,,,,
,1.51,-14.763814028960462,15.0,-0.3463580198585987,,,,,80.14034198542913,0.3094191942471231,,,,,0.657153077,0.380761523,0.276391554,0.244488977,0.136272546,,134,536,499,57,63,8,38,190,122,84,16,14,11,21,,,,0.039179104,,,,,,,,,15.0,,,,,,,
,2.33,6.000221566344621,-4.7037036418914795,-2.306691730394959,,,,,112.72449512507733,0.3729636056868035,,,,,0.790370307,0.440265486,0.350104821,0.314159292,0.126106194,,120,482,452,46,60,0,46,199,142,96,35,11,3,20,,,,0.041493775,,,,,,,,,-1.0,,,,,,,
,1.52,10.375291654882458,-12.79629611968994,-1.355848478153348,,,,,117.1764394990028,0.3405812387757876,,,,,0.705753422,0.362799263,0.342954159,0.287292817,0.075506446,,138,606,543,65,58,3,29,197,156,127,20,6,14,44,,,,0.07260726,,,,,,,,,-6.0,,,,,,,
,1.77,10.752086301680858,-3.7777777910232544,-0.3703802656382322,,,,,129.37158458260078,0.3752617788167647,,,,,0.768817203,0.379928315,0.388888888,0.29032258,0.089605735,,72,336,279,48,20,2,19,106,81,62,15,2,11,41,,,,0.122023809,,,,,,,,,-2.0,,,,,,,
,1.47,-3.2089170770844966,2.5185185968875885,0.4843740034848451,,,,,95.23147769479812,0.3328848981577356,,,,,0.683793069,0.335456475,0.348336594,0.29299363,0.042462845,,114,530,471,74,24,0,15,158,138,123,10,5,22,38,,,,0.071698113,,,,,,,,,6.0,,,,,,,
,2.69,4.72772551869943,0.5864198207855225,-1.9463580437004568,,,,,113.95933902378547,0.369060804677564,,,,,0.770064557,0.403785488,0.366279069,0.312302839,0.091482649,,93,353,317,42,29,1,20,128,99,79,12,7,3,19,,,,0.053824362,,,,,,,,,-2.0,,,,,,,
,1.56,1.459084228183546,-5.5061728954315186,0.4759958311915397,,,,,101.36294440721134,0.3188562991127135,,,,,0.659958171,0.336148648,0.323809523,0.280405405,0.055743243,,141,640,592,72,54,1,24,199,166,142,16,7,24,33,,,,0.0515625,,,,,,,,,-2.0,,,,,,,
,1.43,4.491134884136487,-5.0740742683410645,1.1966632045805454,,,,,105.42328663803252,0.3223076787347811,,,,,0.668428024,0.342052313,0.326375711,0.285714285,0.056338028,,123,539,497,71,40,0,22,170,142,120,16,6,24,25,,,,0.046382189,,,,,,,,,1.0,,,,,,,
,1.45,4.012097142652021,-6.470737934112549,5.644707761704922,,,,,97.784194491787,0.3348969592532115,,,,,0.696128261,0.362173038,0.333955223,0.28169014,0.080482898,,129,544,497,60,79,1,31,180,140,109,23,7,46,37,,,,0.068014705,,,,,,,,,-1.0,,,,,,,
,2.06,-14.356904538994945,14.06172839552164,0.4134195372462272,,,,,73.63066478812573,0.2683031791057743,,,,,0.556508752,0.286016949,0.270491803,0.245762711,0.040254238,,119,497,472,41,31,0,16,135,116,100,13,3,16,11,,,,0.022132796,,,,,,,,,14.0,,,,,,,
,1.53,12.291749655709925,-16.765431880950928,1.6519736032932997,,,,,116.05538434287936,0.3364271973741465,,,,,0.694735504,0.349907918,0.344827586,0.300184162,0.049723756,,137,588,543,79,53,3,19,190,163,144,14,2,30,31,,,,0.052721088,,,,,,,,,-10.0,,,,,,,
,1.45,-1.2503584186064938,-0.1296296119689941,2.180463010445237,,,,,93.9359895306835,0.3115051812406955,,,,,0.607733389,0.26150121,0.346232179,0.22276029,0.03874092,,120,502,413,68,19,2,11,108,92,81,8,1,30,76,,,,0.151394422,,,,,,,,,3.0,,,,,,,
,1.66,0.822807318919772,-0.6913580894470215,-0.9709364101290704,,,,,103.52117416289592,0.3195548132733182,,,,,0.658307345,0.331730769,0.326576576,0.28125,0.050480769,,109,452,416,37,42,3,13,138,117,104,8,2,11,22,,,,0.048672566,,,,,,,,,2.0,,,,,,,
,1.33,8.941643702316313,-2.9135801792144775,1.613975690677762,,,,,123.72907273816232,0.3520592095246955,,,,,0.713072567,0.336206896,0.376865671,0.280172413,0.056034483,,59,274,232,52,20,0,10,78,65,55,7,3,19,35,,,,0.127737226,,,,,,,,,0.0,,,,,,,
,1.51,7.705627557084358,-0.3148148655891418,0.3340868987143039,,,,,126.07698149045096,0.3743496093575812,,,,,0.731856029,0.311764705,0.420091324,0.252941176,0.058823529,,55,223,170,27,8,1,6,53,43,37,3,2,12,43,,,,0.192825112,,,,,,,,,-3.0,,,,,,,
,1.31,6.97244705189194,-8.474293529987335,0.59721933118999,,,,,112.0977415335116,0.355437786043478,,,,,0.743128072,0.399515738,0.343612334,0.278450363,0.121065375,,116,464,413,46,56,5,31,165,115,84,17,9,18,37,,,,0.079741379,,,,,,,,,-9.0,,,,,,,
,2.11,-0.0467718841215718,1.425925850868225,-1.546358037739992,,,,,102.9446351854026,0.3552550841932711,,,,,0.747343331,0.402234636,0.345108695,0.326815642,0.075418994,,97,376,358,50,52,2,21,144,117,96,17,2,5,9,,,,0.02393617,,,,,,,,,0.0,,,,,,,
,2.18,-3.407836927719849,6.685185194015503,-1.8178686425089836,,,,,96.36559049464574,0.3424614015615211,,,,,0.711631977,0.381443298,0.330188679,0.268041237,0.113402061,,87,323,291,31,40,6,21,111,78,57,15,0,1,23,,,,0.07120743,,,,,,,,,4.0,,,,,,,
,1.96,-10.16910033872273,3.286970376968384,-2.307804001495242,,,,,88.76771503682313,0.2940896378061316,,,,,0.598585224,0.290265486,0.308319738,0.249557522,0.040707964,,138,621,565,68,25,0,18,164,141,123,13,5,9,43,,,,0.069243156,,,,,,,,,2.0,,,,,,,
,1.38,6.646617372763606,-0.3641975224018097,0.2145318053662777,,,,,125.14151832183268,0.3542506571842416,,,,,0.73312863,0.374384236,0.358744394,0.295566502,0.078817734,,60,227,203,24,26,0,14,76,60,46,12,2,9,17,,,,0.074889867,,,,,,,,,0.0,,,,,,,
,1.63,3.0425696551056074,0.0432099103927612,-1.9379798714071512,,,,,112.4653124112788,0.3662750983156289,,,,,0.754415407,0.379844961,0.374570446,0.294573643,0.085271318,,81,295,258,23,40,0,20,98,76,56,18,2,1,27,,,,0.091525423,,,,,,,,,-1.0,,,,,,,
,1.7,-3.241467003773268,-0.8395061492919922,-0.5871366132050753,,,,,95.40007697707394,0.3043799273714512,,,,,0.62740041,0.31477516,0.31262525,0.265524625,0.049250535,,128,512,467,55,46,0,15,147,124,109,7,8,14,29,,,,0.056640625,,,,,,,,,-8.0,,,,,,,
,1.39,3.545762615443773,5.489380836486816,-0.8329565655440092,,,,,131.33220461078182,0.3783037340054747,,,,,0.788754672,0.403508771,0.385245901,0.342105263,0.061403508,,38,124,114,11,11,0,4,46,39,35,1,3,1,6,,,,0.048387096,,,,,,,,,0.0,,,,,,,
,1.3,3.679141931539786,-1.820987582206726,-0.465913113206625,,,,,111.42194267097877,0.3316529807590302,,,,,0.685331143,0.355172413,0.33015873,0.272413793,0.08275862,,78,322,290,32,32,1,18,103,79,61,13,4,8,14,,,,0.04347826,,,,,,,,,0.0,,,,,,,
,1.21,-11.11696620317186,5.0,3.373197127133608,,,,,75.96826954067882,0.2768057339132846,,,,,0.575338765,0.297455968,0.277882797,0.252446183,0.045009785,,138,535,511,46,33,0,21,152,129,108,19,2,32,17,,,,0.0317757,,,,,,,,,5.0,,,,,,,
,1.18,0.9428853247596988,-3.6913580894470215,0.2379979155957698,,,,,101.29784641235533,0.3454526572563629,,,,,0.727310413,0.39832869,0.328981723,0.284122562,0.114206128,,95,401,359,45,41,0,36,143,102,66,31,5,12,24,,,,0.059850374,,,,,,,,,1.0,,,,,,,
,1.6,-15.55734942411027,10.60493803024292,1.917330577969551,,,,,67.9646542541353,0.2712099496472919,,,,,0.551170629,0.26879271,0.282377919,0.230068337,0.038724373,,120,484,439,40,44,2,13,118,101,88,11,0,24,31,,,,0.064049586,,,,,,,,,4.0,,,,,,,
